d01 1030,1768
d02 1030,1772
d03 1030,1776
d04 1030,1780
d05 1030,1784
d1 46,1616|968,3595
d1p33f 540,2828
d2 46,1635|519,2650|968,3655
d3 46,1654|479,1644|479,1911|563,1644|563,1911
d3c 707,18464
d4 46,1673|479,1680|479,1918|563,1680|563,1918
d4c 707,18469
d5 46,1692|552,17451
d6 46,1711|952,3415
d6c 707,18477
d8 396,4146|396,4213
d83 471,2059
da 99,20591|143,1280|348,867|348,1034|348,1190|378,878|378,1799|471,11665|590,1879|598,1643|598,1714|598,1736|662,923|707,36750|776,1419|827,932|976,2971|1057,2830|1057,7400
daan 229,486|904,3723
dabft 776,894
dabhi 913,1124|913,2616|913,2792|913,3022
dae 458,3951|519,3061
daeng 618,1734
daetwyl 605,2245
dage 204,3009|204,6133|1203,3009|1203,6133
dagli 471,9795|707,24947
dahan 579,1757|579,2018
dahmani 903,959
dai 115,1718|129,1718|267,1813|478,1167|1248,1167|1284,1813
daichi 259,9788|293,8863|471,15151|479,9391|563,9547|782,3061|1032,10728
daili 49,57|49,323|49,435|245,1678|253,37|253,282|253,1563|253,1794|253,2602|253,2832|312,505|331,1752|463,2031|463,2366|463,2424|463,3462|463,6833|467,5725|499,1843|648,37|648,278|648,416|648,4560|662,392|713,493|713,2880|756,348|756,364|756,985|762,3266|763,485|839,548|839,2292|860,4765|878,3645|878,3888|879,1099|1006,2811|1006,2989|1040,1237|1042,1012|1097,4798|1111,11605|1145,1907|1161,4390|1267,51|1267,331|1267,529|1267,1057|1267,1365
daily_demand_forecasting_ord 253,1920|465,116
dailyko 821,1743
daimlerchrysl 99,16124|930,8825
dajiang 340,2717
dalal 304,3503
dalc 590,4133
dale 256,8319|311,6198|361,6198|445,6715|485,7977|507,8304|554,7977|663,6715|732,9567|1017,4952|1089,4952|1157,8325
daley 289,724
dalia 713,41|713,264|713,337|713,1109|713,2804|769,1881
dalkil 48,7469|325,4955|640,6612|716,5739|782,3265|982,22260|1168,3453|1229,10327
dalla 34,9792|389,10702|665,1349|820,10708|1113,21984
dama 467,6954|467,7142|467,7292|467,7551|467,7826|467,8278|467,9449|467,9636|551,3406|551,3629|551,3888|762,6257|762,6891|762,7244
damag 293,2285|328,3774|479,2969|563,2969|787,5163|970,48|970,321|970,501|970,626|970,1345|970,1688|970,1900|982,12470|1032,2285
damerau 806,3598|806,4219|806,4388
damith 540,1032|540,1075
damp 323,2988|907,4051|907,4146|1124,4051|1124,4146|1278,1420
dan 58,5955|58,6698|58,7614|65,939|99,22583|189,519|243,4512|256,9818|293,6981|293,8753|311,6445|361,6539|418,1950|469,6562|471,4955|479,7665|479,9281|485,8318|495,1259|495,1528|500,10452|501,3076|507,9803|550,16921|554,8224|559,9285|559,18753|563,7665|563,9437|707,10397|716,499|743,12554|788,5955|788,6698|788,7614|836,17354|930,6817|979,2032|979,3158|982,23171|1017,5293|1032,6833|1032,10618|1034,4835|1053,9285|1053,18752|1073,3331|1073,5170|1089,5293|1157,9824|1168,1921|1178,2153|1229,10709|1235,10365|1235,12940|1235,15657|1241,492
danc 74,1328|444,1855
dancstry1 204,3038|204,5321|204,6165|1203,3038|1203,5321|1203,6165
dancstry2 204,3072|204,5332|204,6202|1203,3072|1203,5332|1203,6202
dangelo 588,970
danger 149,1951|545,2010|780,2259|807,1247|807,4946
dani 86,936
daniel 40,786|40,802|40,2610|78,3654|86,920|144,4726|169,3865|169,4886|169,5542|218,728|218,744|245,820|245,874|245,3306|245,3544|245,3839|245,4184|245,4478|245,4777|245,5209|245,5586|245,6426|259,4305|298,1441|355,1150|360,3667|398,488|421,1490|455,735|455,751|463,914|463,8346|463,8910|463,12081|463,12588|463,13167|471,9746|471,13585|544,2482|544,2994|544,4942|544,5060|568,3098|696,837|707,41748|716,2941|766,809|766,861|806,5265|936,3189|936,4422|936,5488|976,2849|982,2372|1050,823|1050,1677|1057,2708|1057,7278|1081,4487|1113,2890|1168,2545|1198,3654|1229,4939|1229,5067|1229,9508|1229,10498
danielbdia 696,961
danieln 365,1590
danmini_doorbel 190,49|190,114|938,116
danni 78,7716|144,19191|259,6637|259,9236|305,531|421,13890|421,17535|471,13407|552,25331|707,41188|776,9516|1198,8109|1277,2216
danzig 436,2196|436,2453|436,2680
dapd 1300,1603
daphn 58,5845|320,2734|320,3235|687,4935|721,1032|721,2862|788,5845|806,5770|1111,7358
daphnet 245,37|245,275|245,1118|245,1293
daphnet_logo 952,3423
daphnia 68,502|68,1260|68,1884|68,2360|68,2730
daq 1100,2278
daqe 161,824|161,2629|340,736
dark 1144,3493
darley 289,1279
darlington 293,8631|479,9159|559,18631|563,9315|1032,10496|1053,18630
darmstadt 1300,350
darpa 85,6698|298,847|351,1432
darrel 58,4511|58,7919|58,8287|99,7635|99,21416|445,7451|453,2329|453,2542|663,7451|732,12171|788,4511|788,7919|788,8287|801,8146|801,11229|801,13275|907,7604|907,8459|907,9204|930,5236|930,10632|1069,1635|1069,2069|1105,879|1105,2200|1124,7604|1124,8459|1124,9204|1235,5526|1235,16515|1235,17524
darren 831,3581|831,3701
darya 66,1080|287,2481|500,6222|836,12926
dasarathi 471,2131|552,14012|740,3787
dash 34,9272|112,5246|122,3259|144,21020|164,5645|234,3063|259,8450|293,6353|307,6953|325,3696|353,7129|389,8250|421,11657|445,6614|471,4791|471,6435|471,8448|479,7037|482,6796|520,2301|530,2083|559,8428|563,7037|640,4530|644,934|663,6614|707,9876|707,13947|707,18131|732,9200|746,2236|755,3991|780,2518|800,2869|820,8733|835,2301|857,1805|982,1356|1032,6353|1047,6078|1053,7474|1058,3123|1077,1835|1081,8330|1082,6526|1111,8673|1113,19038|1280,3259
dashdot 982,1368
dat 30,3411|30,3429|30,3997|30,4016|30,4246|30,4274|30,4295|30,4717|145,184|265,129|284,160|372,129|391,2773|413,128|486,160|486,169|486,178|486,187|486,196|486,205|486,214|486,223|486,232|583,151|634,145|643,2225|643,2307|643,3071|643,3200|643,3450|643,3829|643,3975|735,1999|790,1504|790,2338|847,2962|863,207|952,631|995,2092|1076,258|1094,135
