fa 143,64,p
fabian 12,9,p|111,0,p|745,0,i|800,0,i|906,0,p|1123,0,p
fabio 138,14,i|255,14,i|310,14,p|360,14,p|484,14,p|506,14,i|510,14,p|533,9,p|533,0,p|553,14,p|601,14,p|1016,14,p|1088,14,p|1156,14,i
fabrictyp 1133,81,p|1133,0,p
fabul 23,121,p
fac 1042,7,a|1270,9,p|1270,9,p
facad 139,22,p|139,22,p|139,23,p
face 98,112,p|98,192,p|98,104,p|184,12,p|184,24,p|227,22,p|227,121,p|364,37,title|364,4,b|364,44,p|364,32,p|364,173,p|364,327,scale|364,364,scale|382,40,p|382,80,p|382,38,p|382,35,p|382,81,p|400,460,p|400,21,p|524,86,p|524,86,p|557,40,title|557,40,h1|557,1,a|557,1,a|557,1,a|557,1,a|664,136,p|664,69,p|664,6,p|706,13,p|730,1,a|769,36,p|822,36,p|828,84,p|828,48,p|828,22,p|828,88,p|838,34,p|880,50,p|981,155,p|1101,37,title|1101,4,b|1101,14,a|1101,0,b|1101,106,p|1101,0,b|1101,98,p|1101,0,b|1101,14,a|1144,85,sensortype|1159,38,p
facebook 384,91,p|384,99,p|384,0,p|384,99,p|1039,33,title|1039,0,b|1039,2,p|1039,138,p|1039,47,p|1039,47,p|1096,33,title|1096,0,b|1096,60,p|1096,52,p|1096,57,p|1096,52,p|1096,18,p|1096,7,p|1096,52,p|1096,57,p|1096,52,p|1096,52,p|1096,57,p|1096,52,p|1096,18,p|1096,7,p|1096,52,p|1096,57,p|1096,52,p|1096,52,p|1096,57,p|1096,52,p|1096,18,p|1096,7,p|1096,52,p|1096,57,p|1096,52,p|1219,33,title|1219,0,b|1219,2,p|1219,62,p|1219,71,p
facet 83,56,p|96,181,p|271,56,p|624,14,p
facial 364,8,expression|382,38,p|400,45,title|400,12,b|400,94,p|400,29,p|400,174,p|400,376,p|400,244,p|400,242,p|400,78,p|524,42,p|524,130,p|524,1,p|706,22,p|706,204,p|706,292,p|828,186,p|828,225,p|828,74,p
facil 10,117,p|148,131,p|148,129,p|148,251,p|148,1035,p|148,1428,p|148,446,p|148,887,p|321,66,p|714,115,p|846,101,p|888,54,p|1060,66,p|1295,201,p|1306,201,p
facilit 37,266,p|74,22,p|74,22,p|466,139,p|493,86,p|635,40,p|738,258,p
fact 138,25,p|146,135,p|227,101,p|420,172,p|487,4,p|529,17,p|759,55,p|835,156,p|981,155,p|1139,12,var|1234,3,p|1295,169,p|1302,14,p|1306,169,p
factor 16,123,p|51,163,p|51,78,p|51,78,p|77,49,a|87,132,p|111,49,a|143,49,a|320,47,p|320,0,p|322,24,p|330,158,p|377,17,p|380,343,p|390,744,p|395,15,p|404,100,p|417,206,p|420,130,p|450,58,p|487,740,p|519,49,a|529,49,a|561,34,p|575,4,p|591,13,p|635,102,p|726,55,title|726,22,b|731,89,p|731,162,p|745,49,a|745,48,p|759,41,p|806,89,p|806,65,p|834,49,a|930,52,p|947,166,p|947,10,p|947,305,p|1022,21,p|1022,21,p|1045,266,p|1060,97,p|1095,89,p|1112,138,p|1135,71,p|1137,76,p|1167,131,p|1196,22,p|1197,49,a|1234,89,p|1252,39,p|1263,61,p|1264,359,p|1264,10,p
factori 70,0,a|70,124,p|1104,0,a
faculti 24,168,p|32,2,p|35,0,p|35,0,p|47,30,i|78,30,p|94,31,p|95,140,p|114,2,p|115,30,i|121,2,p|128,2,p|135,19,p|135,16,p|135,16,p|136,13,p|170,30,p|266,2,p|273,12,p|273,12,p|273,215,p|281,30,i|292,27,p|292,34,p|317,0,p|354,2,i|356,2,i|377,135,p|403,4,p|404,61,p|404,62,p|430,2,p|430,2,p|470,30,p|470,34,p|470,27,p|470,2,p|477,2,i|478,27,p|478,34,p|502,16,p|533,42,p|533,27,p|543,27,p|555,13,p|558,27,i|558,34,i|562,27,p|562,34,p|585,21,p|635,39,p|666,30,p|706,30,i|706,2,i|706,34,i|706,27,i|734,34,p|737,30,i|744,78,p|744,159,p|774,0,p|781,30,p|805,2,p|809,36,p|856,2,i|873,27,i|880,64,p|880,36,p|880,58,p|902,26,p|905,16,p|922,19,p|932,34,i|935,30,p|978,30,p|1031,34,p|1031,27,p|1045,39,p|1045,182,p|1052,27,i|1052,34,i|1057,2,p|1059,0,p|1076,2,i|1080,30,p|1086,30,p|1112,30,i|1137,12,p|1137,31,p|1147,26,p|1177,9,p|1191,30,i|1196,33,p|1196,0,p|1238,30,p|1240,30,i|1247,2,i|1279,2,p|1283,2,p|1293,0,h2
fad 597,24,p
fadi 27,0,p|27,0,u|227,0,p|227,0,u|227,45,p|227,25,p|227,45,p|886,0,p|886,0,u
fahd 1168,143,p|1168,83,p
fahim 136,6,p|136,0,u|555,6,p|555,0,u|584,57,p|611,57,p
fahlman 242,325,p|1033,325,p
fail 21,125,p|21,66,p|21,69,p|33,143,p|133,176,p|143,150,p|235,102,p|235,147,p|255,42,p|262,71,p|303,424,p|388,143,p|487,205,p|487,341,p|487,47,p|506,42,p|549,20,p|578,34,p|578,34,p|578,34,p|578,34,p|744,112,p|819,143,p|888,693,p|932,136,p|951,21,a|1112,143,p|1122,147,p|1156,42,p
failur 21,179,p|21,73,p|21,35,p|21,96,p|303,245,p|303,190,p|303,395,p|303,596,p|303,112,p|303,60,p|371,5,a|395,19,p|395,20,p|395,20,p|575,17,p|575,24,p|589,3,p|589,35,p|786,86,p|786,86,p|810,68,p|826,49,title|826,16,b|826,71,p|826,95,p|826,11,p|826,11,p|826,45,p|826,11,p|826,11,p|826,123,p|826,147,p|826,280,p|826,337,p|888,623,p|975,37,title|975,4,b|975,53,p|975,149,p|975,25,p|975,18,scania|975,14,scania|975,42,scania|975,48,scania|975,55,scania|975,59,scania|975,104,p|975,56,p|1056,25,p|1056,18,scania|1056,14,scania|1056,42,scania|1056,48,scania|1056,55,scania|1056,59,scania|1160,75,p
faint 1059,85,p
fair 269,14,p|392,14,p|549,183,p|551,2,p|606,95,p|849,98,p
fairli 201,377,p|203,439,p|317,29,p|549,14,p|551,107,p|551,78,p|1202,439,p
fake 0,11,h4|1,11,h4|2,11,h4
falch 561,114,p
falk 524,36,p
