jaafar 1168,0,p|1168,0,p
jaakko 233,17,i|297,0,i|350,0,i|567,0,p|739,0,i|739,0,i|754,17,p|800,0,i|800,0,i|800,0,i|800,0,i|821,0,p|821,0,p|906,0,p|906,0,p|906,0,p|906,0,p|1123,0,p|1123,0,p|1123,0,p|1123,0,p|1270,0,p
jaap 1201,42,p
jabbari 136,20,p|136,20,p|555,20,p|555,20,p
jaccard 1301,148,p|1301,218,p
jacek 33,39,i|98,39,i|138,39,i|163,39,p|306,39,p|352,39,p|388,39,i|470,39,p|481,39,p|510,39,p|601,39,p|635,39,i|686,39,p|706,39,i|819,39,i|929,39,p|967,0,p|967,0,u|973,219,p|981,39,i|1046,39,p|1080,39,p|1081,39,p|1110,39,i|1112,39,i|1228,39,p|1244,39,p
jack 286,0,p|407,39,p
jacket 468,134,p|981,4,p
jacketcolor 33,140,p|388,140,p|819,140,p|1112,140,p
jackfruit 279,4,p
jacob 512,115,p|1177,20,p|1293,7,a|1299,7,li|1299,31,li|1304,10,p
jacobian 897,105,p
jacobin 897,83,p
jacquot 279,10,p
jafari 136,58,p|136,58,p|555,58,p|555,58,p
jafcpereira 905,0,u
jaggedtop 903,49,p|903,63,p
jaguar 1264,38,p
jahangir 592,9,p|592,9,p
jaim 125,36,p|512,36,i|606,0,p|606,19,p|606,19,p|613,36,p|726,0,p|726,18,p|726,18,p|1080,36,p|1112,36,i
jain 78,32,p|78,0,u|635,90,i|666,32,p|666,0,u|666,19,p|666,0,p|1086,32,p|1086,0,u|1086,19,p|1086,0,p|1109,95,p|1190,95,p|1238,32,p|1238,0,u|1244,90,p|1270,98,p|1270,5,p
jair 33,26,i|40,26,p|55,26,p|87,26,i|114,26,p|125,26,p|128,26,p|138,26,i|163,26,p|226,26,i|233,26,i|242,26,p|266,26,p|292,26,p|292,26,p|306,26,p|317,26,p|319,26,p|352,26,p|388,26,i|444,26,p|468,26,i|477,26,i|478,26,p|478,26,p|481,26,p|499,26,p|510,26,p|512,26,i|549,26,i|551,26,i|558,26,i|558,26,i|562,26,p|562,26,p|593,26,p|601,26,p|613,26,p|625,26,p|662,26,p|679,26,p|686,26,p|715,26,i|720,26,i|731,26,i|734,26,p|742,26,p|754,26,p|769,26,i|775,26,p|786,26,i|799,26,i|810,26,i|819,26,i|822,26,i|835,26,i|911,26,p|932,26,i|981,26,i|1031,26,p|1031,26,p|1033,26,p|1046,26,p|1052,26,i|1052,26,i|1059,26,p|1080,26,p|1080,26,p|1080,26,p|1081,26,p|1110,26,i|1112,26,i|1112,26,i|1112,26,i|1143,26,p|1167,26,p|1228,26,p|1247,26,i|1283,26,p
jakarta 951,1,a
jakob 121,41,p|462,145,p|462,145,p|470,41,p|706,41,i|856,41,i|1057,41,p|1076,41,i|1279,41,p
jakub 71,0,p|71,0,u|77,0,p|143,0,i|213,3,p|213,0,u|213,67,p|297,0,i|567,0,p|1115,3,p|1115,0,u|1115,42,p|1197,0,p
jalandhar 1096,69,p
jam 635,172,p|635,0,a|636,224,p|636,34,p|739,28,p|1064,201,p|1159,51,p|1244,0,a
jamaica 499,194,p|1072,194,p
jamaican 972,601,p
jame 57,18,p|77,2,p|79,0,p|79,0,p|114,0,p|121,0,p|128,0,p|143,2,i|170,0,p|170,17,p|226,0,i|226,17,i|255,22,i|255,0,i|258,31,p|258,31,p|258,2,p|258,2,p|266,0,p|288,0,p|304,2,i|310,22,p|310,0,p|350,18,i|360,22,p|360,0,p|367,0,p|417,0,i|420,2,i|420,2,i|470,2,p|477,0,i|484,0,p|484,22,p|506,22,i|506,0,i|551,0,i|551,17,i|551,2,i|553,22,p|553,0,p|617,0,p|686,17,p|706,2,i|729,0,p|729,0,u|729,45,p|729,77,p|729,2,p|729,0,u|729,16,p|729,32,p|729,16,p|729,28,p|737,0,i|737,17,i|775,0,p|775,17,p|775,2,p|787,18,p|856,0,i|1016,0,p|1016,22,p|1032,0,p|1057,0,p|1072,0,p|1076,0,i|1088,0,p|1088,22,p|1110,17,i|1143,0,p|1143,17,p|1156,22,i|1156,0,i|1197,2,p|1234,18,i|1247,0,i|1270,18,p|1276,2,p|1278,0,i|1279,0,p|1283,0,p
jamestansc 617,0,u
jamjala 836,44,p|836,47,p
jammer 636,184,p
jamova 317,0,p|631,0,p|734,0,p|1029,27,p|1029,27,p|1059,0,p
jan 33,108,i|163,15,p|163,108,p|224,36,p|228,17,i|242,0,p|258,17,p|292,38,p|306,108,p|352,108,p|388,108,i|420,17,i|442,27,p|458,34,p|468,0,i|470,17,p|478,38,p|481,108,p|549,0,i|551,0,i|558,38,i|562,38,p|686,0,p|706,17,i|742,0,p|755,121,p|775,0,p|819,108,i|877,160,p|877,161,p|877,0,p|877,68,p|878,53,p|878,35,p|892,108,i|903,17,p|912,130,p|912,126,p|987,108,p|1031,38,p|1033,0,p|1046,15,p|1046,108,p|1052,38,i|1080,17,p|1080,108,p|1081,108,p|1096,6,p|1096,6,p|1096,6,p|1110,0,i|1112,17,i|1112,108,i|1160,56,p|1263,42,p|1275,108,p
jana 1029,3,p|1029,0,u
janeiro 387,41,p|556,44,p|1294,63,li
janet 1170,132,p
janez 444,33,p|662,33,p|731,33,i
jang 429,25,p|429,25,p
janjao 292,116,p|478,116,p|558,116,i|562,116,p|1031,116,p|1052,116,i
jankowski 57,8,p|242,75,p|468,75,i|470,49,p|470,8,p|706,8,i|706,49,i|787,8,p|981,75,i|1033,75,p|1228,75,p|1234,8,i
jann 33,38,i|163,38,p|306,38,p|352,38,p|388,38,i|481,38,p|654,49,p|739,49,i|819,38,i|821,49,p|1046,38,p|1080,38,p|1081,38,p|1112,38,i|1122,49,i
jano 4,63,li
janosi 742,55,p|742,13,p|742,55,p
janski 591,499,p
januari 43,176,p|163,24,p|163,32,p|163,40,p|303,104,p|318,20,p|446,214,p|446,214,p|533,112,p|600,43,p|621,43,p|637,110,p|714,46,p|805,286,p|846,32,p|859,31,p|914,87,p|1046,24,p|1046,32,p|1046,40,p|1058,232,p|1058,232,p|1058,232,p|1149,192,p|1294,40,li|1299,49,li|1300,45,p
japan 30,15,p|77,32,p|143,32,i|198,333,p|219,39,p|297,32,i|441,186,p|484,140,p|486,206,p|499,115,p|500,201,p|553,140,p|567,32,p|685,49,p|754,26,p|816,49,p|914,47,p|1015,59,p|1072,115,p|1197,32,p|1198,26,p|1294,22,li|1294,115,li|1299,94,li
