iac 18976,333,p
iacr 19898,1045,pre|19898,1846,pre
iadapt 16935,42085,string|16935,43271,string
iaeng 20007,102,p|20007,362,p
iaf 18592,410,p
iaftnew 19861,13,li|19861,25,a
iago 19296,0,a|19309,8,a|19309,0,p|19309,155,p|19313,8,a|19313,0,p|19313,155,p|19313,12,span|19333,0,li|19337,8,a|19337,0,p|19337,92,p|19337,12,span|19342,11,title|19342,8,a|19342,0,p|19342,92,p|19342,12,span
iam 17684,314,p|18408,127,p
iamjunk 17056,7,a
ian 17363,336,p|18164,0,a|18164,0,p|18324,30,p|19544,82,li|19544,34,li|19544,45,li|19556,5,li|19615,39,pre|19618,0,p|19625,0,li|19642,0,td|19662,14,p|19704,0,li|19749,0,li|19751,0,td|19783,0,li|19849,0,li|19954,1,a|19954,1,a|19957,7,a|19958,7,a|20006,0,li|20074,0,a|20082,29,div|20087,29,div|20124,0,a|20124,15,div|20124,43,div|20157,0,a|20190,0,a|20192,0,a|20204,0,h2|20204,0,a|20263,0,a|20266,0,a|20266,29,div|20267,29,div|20267,30,div|20267,62,div
iapr 17038,51,li|17295,310,p|18050,51,li|18314,310,p|20073,0,div|20087,0,div|20266,0,div|20271,0,em|20271,18,div
iarpa 19856,0,div|19867,0,div|19867,13,p|19867,24,p|19872,96,p|19874,0,div|19874,13,p|19874,24,p|19883,0,div|19899,0,div
iasona 20065,0,a|20081,0,a|20232,0,a
iast 19221,1,p|19230,1,p
ib 19856,5,a
ibb 19615,41,pre|19615,178,pre
ibg 19885,0,a
