500m 17597,911|17839,909|17928,867|17964,2689
500mb 18141,2235
50denni 20164,196|20192,1589
50k 19789,1117|19789,8337
50kb 19633,5598|19633,5699
50kri 20164,551|20192,5216
50lui 20164,759|20192,6626
50pct 19825,5785|19825,5845
50piotr 20164,1100|20192,8645
50pm 17901,835|18624,835|19768,481|19819,382|19819,425|19990,587|20003,658|20016,642|20064,4119
50pmlocat 19966,584|19982,598
50px 19613,6271|19613,8019|19613,8036|19613,8139|19613,8195
512k 19789,11469
5130counsel 19990,14352|20017,10040|20019,20206
513m 16899,270|16921,246|16932,270|16945,447|16950,365|16955,423|16957,423|16961,328|16979,423
52_01 16946,76083480|16946,76083583|16946,76083693
52_1 16946,45108005|16946,45108144|16946,45108290|16946,45108443
53m 16905,187|16913,187|16923,187|16930,187|16939,187|16942,187|16952,187|16958,187|16962,187
540mb 19482,2005|19502,2005
54gb 16943,1291
55baback 20238,7696
55hame 20238,1972
55oscar 20238,4352
55pietro 20238,12159
55piotr 20238,76
55ricki 20238,9604
55th 17765,1548|18059,1534|18438,1506
561â 19520,1808
562kb 18880,1596
571â 18160,38714
57m 16899,322|16921,422|16932,322|16945,273|16950,417|16955,373|16957,373|16961,278|16979,373
57tanenbaum 20008,1855
587â 20210,2122
590859â 17714,1580
59e59 19988,872
59k 18465,2499
59pm 20003,12636|20066,4786
5_1 16946,44906017|16946,44906158|16946,44906306|16946,44906461|16946,44938294|16946,44938433|16946,44938579|16946,44961650|16946,44961786|16946,44961929|16946,45094255|16946,45094395|16946,45094542|16946,45121994|16946,45122138|16946,45122289|16946,45160921|16946,45161061|16946,45161208|16946,45177458|16946,45177601|16946,45177751|16946,45177908|16946,45232383|16946,45232523|16946,45232670|16946,45263668|16946,45263805|16946,45263949|16946,46791313|16946,46791421|16946,46791536|16946,46791658|16946,46793896|16946,46794001|16946,46794113|16946,46794232
5_2 16946,44937856|16946,44937995|16946,44938141|16946,44962079|16946,44962215|16946,44962358|16946,45122447|16946,45122591|16946,45122742|16946,45158125|16946,45158265|16946,45158412|16946,45158566|16946,45176855|16946,45176998|16946,45177148|16946,45177305
5_3 16946,44961075|16946,44961211|16946,44961354|16946,44961504|16946,45263236|16946,45263373|16946,45263517
5_4 16946,45264532|16946,45264669|16946,45264813
5_5 16946,45264100|16946,45264237|16946,45264381
5_ga 16946,78303069|16946,78303176|16946,78303290|16946,78303411
5_r3 16946,84897998|16946,84898097|16946,84898203|16946,84898316|16946,84903032|16946,84903136|16946,84903247|16946,84903365
5_r4 16946,84894594|16946,84894693|16946,84894799|16946,84894912|16946,84899468|16946,84899572|16946,84899683|16946,84899801
5_spec 16946,46669780|16946,46669904|16946,46670034|16946,46670171|16946,46670315|16946,46670443|16946,46670578|16946,46670720|16946,46670858|16946,46670988|16946,46671125|16946,46671269|16946,46671409|16946,46671539|16946,46671676|16946,46671820|16946,46720943|16946,46721060|16946,46721181|16946,46721309|16946,46721444|16946,46721575|16946,46721698|16946,46721828|16946,46721965|16946,46722098|16946,46722222|16946,46722353|16946,46722491|16946,46722625|16946,46722746|16946,46722874|16946,46723009|16946,46723140|16946,46723263|16946,46723393
5a 16946,2582243|16946,2582346|16946,2582456|16946,2582573|16946,2598173|16946,2598262|16946,2598358|16946,2598461|20017,3872
