80072f8f 19587,77240
800ad 19716,1506
800sec 19501,40952
801sec 19501,41163
802sec 19501,41355
803sec 19501,41564
804sec 19501,41775
805sec 19501,41967
806sec 19501,42178|19501,42370
807sec 19501,42579
808sec 19501,42790
809sec 19501,42982
80tanenbaum 20008,1064
810sec 19501,43191
811sec 19501,43402|19501,43594
812sec 19501,43803
813sec 19501,44014
814sec 19501,44198
815sec 19501,44399
816sec 19501,44583
817sec 19501,44784|19501,44965
818sec 19501,45163
819sec 19501,45363
820sec 19501,45553|19501,45743
821sec 19501,45941
822sec 19501,46141
823sec 19501,46322
824sec 19501,46501
825sec 19501,46697
826sec 19501,46895
827sec 19501,47083|19501,47271
828sec 19501,47467
829sec 19501,47665
830sec 19501,47844
831sec 19501,48024|19501,48221
832sec 19501,48420
833sec 19501,48603
834sec 19501,48803
835sec 19501,49005
836sec 19501,49187
837sec 19501,49386
838sec 19501,49587
839sec 19501,49780|19501,49965
840sec 19501,50160
841sec 19501,50355
842sec 19501,50561|19501,50757
843sec 19501,50963
844sec 19501,51172
845sec 19501,51371
846sec 19501,51580
847sec 19501,51781
848sec 19501,51992
849sec 19501,52197
850sec 19501,52402|19501,52615
851sec 19501,52828
852sec 19501,53052
853sec 19501,53276
854sec 19501,53505
855sec 19501,53734
856sec 19501,53963
857sec 19501,54192
858sec 19501,54422
859sec 19501,54652
85b 17420,805|17492,1733|18713,847
85em 19856,9918|19856,13053|19899,11354|19899,14449
85m 16899,416|16921,371|16932,416|16945,315|16950,273|16955,270|16957,270|16961,413|16979,270
85â 19475,2380
860sec 19501,54882|19501,55112
861sec 19501,55342
862sec 19501,55572
863sec 19501,55786
864sec 19501,56009
865sec 19501,56232
866sec 19501,56455
867sec 19501,56678
868sec 19501,56901
869sec 19501,57124
870sec 19501,57347|19501,57570
871sec 19501,57785
872sec 19501,58000
873sec 19501,58212
874sec 19501,58424|19501,58636
875sec 19501,58848
876sec 19501,59058
877sec 19501,59268
878sec 19501,59478
879sec 19501,59688
880sec 19501,59889|19501,60100
881sec 19501,60314
882sec 19501,60518
883sec 19501,60731
884sec 19501,60934|19501,61127
885sec 19501,61319
886sec 19501,61514
887sec 19501,61703
88f 19572,8678
8_1 16946,44964453|16946,44964594|16946,44964742|16946,45009306|16946,45009444|16946,45009589|16946,45098328|16946,45098466|16946,45098611|16946,45112538|16946,45112679|16946,45112827|16946,45249856|16946,45250004|16946,45250159|16946,45285235|16946,45285377|16946,45285526|16946,45342420|16946,45342557|16946,45342701|16946,46772878|16946,46772994|16946,46773117|16946,46773247|16946,46773471|16946,46773582|16946,46773700|16946,46773825|16946,46778059|16946,46778170|16946,46778288|16946,46778413|16946,46783014|16946,46783129|16946,46783251|16946,46783380|16946,46784740|16946,46784851|16946,46784969|16946,46785094
8_2 16946,44964009|16946,44964150|16946,44964298|16946,45112094|16946,45112235|16946,45112383|16946,45250321|16946,45250469|16946,45250624|16946,45284788|16946,45284930|16946,45285079
8_3 16946,45096582|16946,45096720|16946,45096865|16946,45249391|16946,45249539|16946,45249694|16946,45286728|16946,45286870|16946,45287019|16946,45341556|16946,45341693|16946,45341837
8_4 16946,45097017|16946,45097155|16946,45097300|16946,45248768|16946,45248916|16946,45249071|16946,45249233|16946,45341988|16946,45342125|16946,45342269
8_5 16946,45100226|16946,45100364|16946,45100509|16946,45343431|16946,45343568|16946,45343712
8_6 16946,45342852|16946,45342989|16946,45343133|16946,45343284
8a 16946,16950809|16946,16950930|16946,16951058|16946,16951193|16946,16952953|16946,16953063|16946,16953180|16946,16953304|16946,16954918|16946,16955021|16946,16955131|16946,16955248|19887,4974
8am 19964,1061|19965,1061|19985,987
8b 16946,15272725|16946,15272839|16946,15272960|16946,15273088|16946,15302899|16946,15302999|16946,15303106|16946,15303220|16946,15329789|16946,15329883|16946,15329984|16946,15330092|16946,15344693|16946,15344803|16946,15344920|16946,15345044|16946,15370138|16946,15370239|16946,15370347|16946,15370462|16946,15381876|16946,15381986|16946,15382103|16946,15382227|16946,15428888|16946,15428983|16946,15429085|16946,15429194|16946,15471847|16946,15471951|16946,15472062|16946,15472180|16946,15483988|16946,15484082|16946,15484183|16946,15484291|16946,15500109|16946,15500214|16946,15500326|16946,15500445|16946,15516184|16946,15516295|16946,15516413|16946,15516538|16946,15550707|16946,15550807|16946,15550914|16946,15551028|16946,15564321|16946,15564425|16946,15564536|16946,15564654|16946,15579951|16946,15580053|16946,15580162|16946,15580278|16946,15594045|16946,15594156|16946,15594274|16946,15594399|16946,15620709|16946,15620814|16946,15620926|16946,15621045|16946,15633193|16946,15633293|16946,15633400|16946,15633514|16946,15648056|16946,15648160|16946,15648271|16946,15648389|16946,15668998|16946,15669111|16946,15669231|16946,15669358|16946,15710649|16946,15710752|16946,15710862|16946,15710979|16946,15725701|16946,15725815|16946,15725936|16946,15726064|16946,15753847|16946,15753970|16946,15754100|16946,15754237|16946,15766897|16946,15767033|16946,15767176|16946,15767326|16946,15775793|16946,15775934|16946,15776082|16946,15776237|16946,15785312|16946,15785434|16946,15785563|16946,15785699|16946,15798235|16946,15798369|16946,15798510|16946,15798658|16946,15807513|16946,15807612|16946,15807718|16946,15807831|16946,15822619|16946,15822732|16946,15822852|16946,15822979|16946,15836800|16946,15836894|16946,15836995|16946,15837103|16946,15858895|16946,15859006|16946,15859124|16946,15859249|16946,15872868|16946,15872982|16946,15873103|16946,15873231|16946,15920920|16946,15921020|16946,15921127|16946,15921241|16946,15979753|16946,15979856|16946,15979966|16946,15980083|16946,15991245|16946,15991345|16946,15991452|16946,15991566|16946,16014416|16946,16014526|16946,16014643|16946,16014767|16946,16022957|16946,16023051|16946,16023152|16946,16023260|16946,16039032|16946,16039134|16946,16039243|16946,16039359|16946,16062351|16946,16062450|16946,16062556|16946,16062669|16946,16075472|16946,16075567|16946,16075669|16946,16075778|16946,16090517|16946,16090628|16946,16090746|16946,16090871|16946,16137522|16946,16137628|16946,16137741|16946,16137861|16946,16951324|16946,16951445|16946,16951573|16946,16951708|16946,16953424|16946,16953534|16946,16953651|16946,16953775|16946,16955361|16946,16955464|16946,16955574|16946,16955691
8cf 19899,471
8e1yjihmxa 19978,1883
8em 19856,12757|19856,12922|19856,13071|19899,11949|19899,11961|19899,14134|19899,14288|19899,14464|19899,16339|19899,16494
8f8 19847,4702
8fol 19809,4181
8icm 19978,2546
8k 19793,3392
8m1 16946,30422653|16946,30422757|16946,30422868|16946,30422986|16946,30611397|16946,30611504|16946,30611618|16946,30611739|16946,30740071|16946,30740176|16946,30740288|16946,30740407|16946,30927301|16946,30927410|16946,30927526|16946,30927649
8may 20017,8734
8meet 19996,22833|20001,22833
8mont 19676,6166
8planningl13r 19600,3425
8pm 20080,155
8pmfinal 19982,10767
8pre 16946,55260669|16946,55260796|16946,55260930|16946,55261071
8pre1 16946,9505110|16946,9505199|16946,9505295|16946,9505398
8pre2 16946,87698461|16946,87698604|16946,87698754
8probabl 19823,3857
8pt 19856,6887
8rc1 16946,87698911|16946,87699053|16946,87699202
8structur 19771,3604
8th 17016,588|17019,588|19186,2445|19190,2445|19222,11298|19222,30184|19222,30534|19222,40641|19222,41919|19231,11298|19231,30184|19231,30534|19231,40641|19231,41919|19503,16840|19899,30016|19899,35027|19899,43288|20008,13419|20016,3029
8the 19612,5816
8thgame 20017,7647
8thintroductionsoverview 20014,17202
8thmeet 19966,15735
8thursday 19982,10251
8tuesday 19982,10175
8watch 20019,13545
