900million 17163,1506
900sec 19514,57
903sec 19514,239
904sec 19514,432
905sec 19514,625
906sec 19514,813
907sec 19514,998|19514,1183
908sec 19514,1376
909sec 19514,1564
910sec 19514,1742
911sec 19514,1928
92dafd50b484f3c22d6c17cf0a3945af 19654,271|19670,271
933sec 19514,2109
934sec 19514,2287
935sec 19514,2468
936sec 19514,2654|19514,2840
937sec 19514,3021
938sec 19514,3199
939sec 19514,3377
940sec 19514,3558
941sec 19514,3744
942sec 19514,3931
943sec 19514,4113
944sec 19514,4292
945sec 19514,4471
946sec 19514,4653
947sec 19514,4840|19514,5027
948sec 19514,5209
949sec 19514,5388
94_1 16946,45221118|16946,45221258|16946,45221405
950sec 19514,5569
952sec 19514,5753
953sec 19514,5942|19514,6131
954sec 19514,6315
955sec 19514,6496
956sec 19514,6677
957sec 19514,6861
958sec 19514,7050
959sec 19514,7239
95beta 16946,50352121|16946,50352222|16946,50352330|16946,50353806|16946,50353909|16946,50354019
95em 19899,16463|19899,16537
960sec 19514,7423
961sec 19514,7604
962sec 19514,7785
963sec 19514,7969
964sec 19514,8158|19514,8347
965sec 19514,8531
966sec 19514,8712
967sec 19514,8893
968sec 19514,9077
969sec 19514,9266
96z 19952,3277
970sec 19514,9459
971sec 19514,9652
972sec 19514,9833
973sec 19514,10021
974sec 19514,10206
975sec 19514,10388
976sec 19514,10578
977sec 19514,10756
978sec 19514,10941
979sec 19514,11131|19514,11327
981sec 19514,11523
982sec 19514,11714
983sec 19514,11902
984sec 19514,12090
985sec 19514,12286|19514,12477
987sec 19514,12673|19514,12869
988sec 19514,13065
989sec 19514,13256
991sec 19514,13444|19514,13647
992sec 19514,13858
993sec 19514,14064
994sec 19514,14275
995sec 19514,14471
996sec 19514,14656
997sec 19514,14834
998sec 19514,15012
999sec 19514,15197
99penc 18882,2311
99soft 16946,69756786|16946,69756862|16946,69756944|16946,69757032|16946,69757131|16946,69757234|16946,69757344|16946,69757461|16946,69757574|16946,69757677|16946,69757787|16946,69757904|16946,69758017|16946,69758116|16946,69758219|16946,69758329|16946,69758446|16946,69758559|16946,69758662|16946,69758772|16946,69758889|16946,69759002|16946,69759102|16946,69759206|16946,69759317|16946,69759435|16946,69759549|16946,69759653|16946,69759764|16946,69759882|16946,69759996|16946,69760096|16946,69760200|16946,69760311|16946,69760429|16946,69760543|16946,69760647|16946,69760758|16946,69760876|16946,69760990|16946,69761091|16946,69761196|16946,69761308|16946,69761427|16946,69761542|16946,69761647|16946,69761759|16946,69761878|16946,69761993|16946,69762091|16946,69762193|16946,69762302|16946,69762418|16946,69762530|16946,69762632|16946,69762741|16946,69762857|16946,69762969|16946,69763058|16946,69763151|16946,69763251|16946,69763358|16946,69763461|16946,69763554|16946,69763654|16946,69763761|16946,69763864|16946,69763953|16946,69764046|16946,69764146|16946,69764253|16946,69764356|16946,69764449|16946,69764549|16946,69764656|16946,69764759|16946,69764852|16946,69764952|16946,69765059|16946,69765162|16946,69765257|16946,69765359|16946,69765468|16946,69765573|16946,69765665|16946,69765761|16946,69765864|16946,69765974|16946,69766080|16946,69766168|16946,69766258|16946,69766355|16946,69766459|16946,69766559|16946,69766642|16946,69766734|16946,69766830|16946,69766933|16946,69767043|16946,69767149|16946,69767233|16946,69767330|16946,69767433|16946,69767543|16946,69767660
9_1 16946,45063296|16946,45063433|16946,45063577|16946,45168039|16946,45168179|16946,45168326|16946,45194984|16946,45195123|16946,45195269|16946,45195422|16946,45279206|16946,45279349|16946,45279499|16946,45283894|16946,45284036|16946,45284185|16946,46777466|16946,46777582|16946,46777705|16946,46777835|16946,46779713|16946,46779823|16946,46779940|16946,46780064
9_2 16946,45061853|16946,45061990|16946,45062134|16946,45062285|16946,45178061|16946,45178204|16946,45178354|16946,45278149|16946,45278292|16946,45278442|16946,45286281|16946,45286423|16946,45286572
9_3 16946,45176405|16946,45176548|16946,45176698|16946,45285682|16946,45285824|16946,45285973|16946,45286129
9_4 16946,45175955|16946,45176098|16946,45176248
9a 16946,78164084|16946,78164185|16946,78164293|16946,78164408|19676,6243|19998,985
9am 19984,1672
9b 16946,78163210|16946,78163311|16946,78163419|16946,78163534
9bay 19823,3966
9bayesian 19600,3477
9due 19771,318
9em 19856,7853|19856,10890|19856,11671|19856,12292|19856,12456|19856,13565|19899,9586|19899,11120|19899,12527|19899,13292|19899,13708|19899,13844|19899,14859
9gb 20232,549|20240,549
9introduct 19612,5915
9josh 19996,12821|20001,12821
9machin 19809,4293
9may 20017,8824
9pre1 16946,9506630|16946,9506719|16946,9506815|16946,9506918
9pre2 16946,9524029|16946,9524118|16946,9524214|16946,9524317
9rc3 16946,738666|16946,738763|16946,738867|16946,739329|16946,739418|16946,739514|16946,741348|16946,741445|16946,741549|16946,742066|16946,742166|16946,742273|16946,742755|16946,742848|16946,742948|16946,744374|16946,744468|16946,744569
9slide 19676,5885
9th 17009,10232|17009,22856|17024,10232|17024,22856|17211,2020|17480,733|17533,2418|17630,835|17694,793|17768,680|17823,2062|18160,7883|18160,28459|18160,44145|18334,2363|18517,1675|18682,2321|19178,1165|19185,6713|19187,3328|19193,3328|19204,6713|19222,9366|19222,23155|19222,40091|19231,9366|19231,23155|19231,40091|19246,2773|19458,5674|19458,7122|19503,10296|19503,11404|19625,8932|19662,8932|19907,4737|20008,7329|20008,10306|20066,523
9thaudienc 20014,15510
9thursday 19982,10435
9tour 19996,13175|20001,13175
9tuesday 19982,10350
9w417 18496,2821
