u0041 16929,4955|16929,5314
u0afa 16885,791|16885,803|16885,1103|16885,1115|16929,2998|16929,3010|16929,3319|16929,3331|16935,133052|16935,133064|16935,133364|16935,133376|16936,87962|16936,87974|16936,88277|16936,88289|16936,88637|16936,88649|16936,88952|16936,88964
u1 16946,39653110|16946,39653226|16946,39653349|16946,39653479
u111 18585,1500
u112 18585,1509
u113 18585,1518
u114 18585,1527
u231 18585,1570
u232 18585,1579
u2j46w 19587,78369
ua 16946,365175|16946,365241|16946,365314|16946,365390|16946,365484|16946,365584|16946,365691|16946,365805|19587,131009
uab 19899,31877
uae 19587,1147
uai 19616,5725|19616,7222|19616,8319|19628,843|19707,392|19707,3172|19707,4162|19707,4608|19722,634|19722,3462|19722,4436|19722,5085|19735,1554|19745,2|19745,69|19745,92|19756,342|19756,351|19793,3678|19806,2542|19806,6624|19806,9226|19817,342|19817,351|19819,4684|20162,1121|20162,1315|20203,1144|20203,1380
uai06 19707,4437
uai07 19707,4068
uai08 19707,3050
uai10 19707,291
uang 19587,45964
uav 20283,4795|20283,5010
uber 16946,36521584|16946,36521696|16946,36521813|16946,36521937|16946,36522068|16946,36522195|16946,36522312|16946,36522436|16946,36522567|16946,36522694|16946,36522811|16946,36522935|16946,36523066|16946,36523193|16946,36523309|16946,36523432|16946,36523562|16946,36523688|16946,36523805|16946,36523929|16946,36524060|16946,36524187|16946,36524303|16946,36524426|16946,36524556|16946,36524682|16946,36524799|16946,36524923|16946,36525054|16946,36525181|16946,36525297|16946,36525420|16946,36525550|16946,36525676|16946,36525793|16946,36525917|16946,36526048|16946,36526175|16946,36526292|16946,36526416|16946,36526547|16946,36526674|16946,36526791|16946,36526915|16946,36527046|16946,36527173|16946,36527290|16946,36527414|16946,36527545|16946,36527672|16946,36527789|16946,36527913|16946,36528044|16946,36528171|16946,36528288|16946,36528412|16946,36528543|16946,36528670|16946,36528786|16946,36528909|16946,36529039|16946,36529165|16946,36529282|16946,36529406|16946,36529537|16946,36529664|16946,36529781|16946,36529905|16946,36530036|16946,36530163|16946,36530280|16946,36530404|16946,36530535|16946,36530662|16946,36530779|16946,36530903|16946,36531034|16946,36531161|16946,36531278|16946,36531402|16946,36531533|16946,36531660|16946,36531777|16946,36531901|16946,36532032|16946,36532159|16946,36532275|16946,36532398|16946,36532528|16946,36625766|16946,36625883|16946,36626004|16946,36626132|16946,36626267|16946,36626398|16946,36626519|16946,36626647|16946,36626782|16946,45822457|16946,45822554|16946,45822663|16946,45822779|16946,45822902|16946,45823021|16946,45823130|16946,45823246|16946,45823369|16946,45823488|16946,45823597|16946,45823713|16946,45823836|17004,1887
uberdist 16946,715179|16946,715279|16946,715386|16946,715500
