ýªîàäóë 34279,45169
ý³ 34279,16702|34279,16879|34279,31785|34279,32011|43048,15604|43048,15759
ýµ 26219,1770|26219,1907|26219,3365|26219,3496|26219,7928|26219,8059|26219,9988|26219,10109|50971,1798|50971,1921|50971,2647|50971,3095|50971,5437|50971,5582|50971,6192|50971,6353
ýµ¹ 34279,6795|34279,11468|34279,22938|43048,6014|43048,12578
ý¹ 43048,1759
ýº 26219,7165
ý¼ 19615,3844|26219,4416|26219,4507|34279,9611|50971,5906
ý¾î 19615,589|19615,617|26219,4474|26219,4486|26219,4565|26219,4577|34279,5035|34279,10225|50971,4676|50971,4688
ýà 26219,11169|34279,12048|34279,12346|34279,12538|34279,12700|34279,12838|34279,12989|34279,19567|43048,24089
ýàº 34279,13126|34279,25660|34279,25955|34279,26202|34279,26394|34279,26619|34279,30826|34279,34775|34279,49407|34279,49862|34279,50279|34279,50678|34279,51355
ýàúµé 34279,4623
ýá 26219,1756|26219,1893|26219,3351|26219,3482|26219,7914|26219,8045|26219,9974|34279,13216|34279,27922|43048,11093|50971,1784|50971,2633|50971,2877|50971,2998|50971,5423|50971,5568|50971,6178|50971,6339
ýãâçö 34279,23856|34279,47953|34279,48159|34279,48420|34279,48643|34279,48889|34279,49153|43048,25643|43048,25883|43048,26115|43048,26362
ýåð 34279,21108|34279,22086|34279,45013|34279,45026|34279,45040|34279,45217|34279,45358|34279,46963|43048,13093|43048,23993
ýåõ 34279,3080|34279,11039|34279,11237|34279,17327
ýæ¼äï 34279,13340|43048,11244
ýæ¼äïg 34279,27896|34279,28069
ýçßà 43048,27627
ýçõ 43048,27603
ýè 34279,23523|34279,23644|34279,44424|34279,44456|34279,44491|34279,44522|34279,44553|34279,44583|34279,44827|34279,44891|43048,23543|43048,23556|43048,23791|43048,23804
