건너 45326,2908
건너에 36663,12006|36663,12633
건너용 45766,21
건너용이므로 25899,22953
건너이면서 37097,33040
건넌다 36663,15231
건네주는 39826,488|39826,508|39826,915|39826,935|39826,1328|39826,1348|39826,2966|39826,2986|39826,3416|39826,3436|39826,4331|39826,4351|39826,4856|39826,4876|39826,5566|39826,5586|39826,5871|39826,5891|39826,6771|39826,6791|39826,7118|39826,7138|39826,8482|39826,8502|39826,8902|39826,8922|39826,9332|39826,9352
건넨다 21033,6957
건랜스 43111,25|43111,19512|43111,22672|43111,25031|51013,10240
건랜스를 51013,10252
건랜스와는 19406,36205
건랜스의 31242,5835|43111,20347|43111,21228|43111,21720|43111,25972|45326,5572|45326,5617
건랜스파생 19406,3619|19406,6108|19406,11161|19406,11212|19406,13344|19406,14099|19406,17092|19406,19314
건육 42032,650
건즈 27445,11734|35316,5713|35316,5723|35316,8299|35316,11831|45997,10754|45997,10950|45997,11180|45997,23095
건체리옷 43111,5301
건체리옷改 43111,5544
