극단적으로 25899,21645
극비의뢰 21239,5617|33013,394|33013,677|33013,1027|33013,6691|33013,7651|33013,8346|33013,9144|33013,9990|33013,10594|33013,11039|33013,11150|33013,11301|33013,11455|38161,3473|38161,3646|38917,29043|51013,15069
극상야도진주 38917,32531
극상자자미소 38917,32301
극상흑진주 19406,18083|19406,18346|19406,18569|21815,4461|21815,20673|21815,29385|23733,33686|23733,34339|24789,35262|25899,7861|25899,8395|25899,8526|25899,8812|26754,29312|26774,29839|27445,8724|27798,2165|27798,5330|33013,7893|33013,8547|33119,26482|33119,27567|33645,24253|33645,24648|37097,30688|38917,7659|43111,11004|45997,18698|45997,19506|45997,22764|47038,29449|49792,5647|49792,6209
극소 28259,6762|28259,6944|28259,7287|37097,7207|37097,15155|37097,24201
극속 28259,5723|28259,6145|45326,3490
극심하기 43111,21116
극열독낭 19406,7320|19406,14703|19406,30613|19406,31160|21815,17519|25899,5516|25899,10469|26754,26765|26754,31320|26774,26677|26774,28531|26774,29032|27445,11050|27445,16159|27445,35765|27798,22063|33013,9339|33645,8732|33645,8806|33645,18111|33645,26751|33645,30565|33645,31253|37097,26802|38917,12158|39826,6839|43111,3227|43111,3759|43111,18913|45794,792|47038,28562|47038,30622|49792,4723|49792,25221
극저속 28259,5711
극추져거노트 27445,1850
극한 51013,910
