데그니탈 21815,25780
데다가 33645,32340|43111,22393
데드리볼버 27445,5254
데드리볼버g 27445,31586
데들리타바르진 33645,5178
데들리포이즌 27798,15263|33645,7747
데들리포이즌g 33645,26587
데레데레 51013,11812
데려 36663,272|36663,5911|36663,6303
데려갈 36663,148
데려서 36663,69
데르 21815,27205
데르후 37097,6306
데리고 36663,226|36663,1803|36663,2393|36663,2537|36663,5690|36663,6238|36663,10952|36663,11274
데미지 28259,355|28259,4729|36663,8672|36663,9037|38917,3066|38917,11764|45326,10324|45326,10335
데미지0 35316,2332
데미지가 25899,19902|27445,37496|27798,29432|27798,29467|28259,2520|28259,4778|42032,4638|43111,25085|43111,25304|45326,2554|45326,2608|45326,2661|45326,4923|45326,4962|45326,7530|45326,7583|45326,7636|45326,10166|45326,10455
데미지는 25899,22373|28259,2248|28259,2271|28259,2301|36663,13943|36663,14004|36663,14025|36663,15236
데미지도 43111,22754
데미지로 27445,38405
데미지로서 43111,26091
데미지를 19406,35250|19406,36383|21815,35532|25899,21671|25899,21806|25899,21946|25899,21968|25899,22194|25899,23034|25899,23224|28259,1162|28259,1669|28259,2171|28259,2852|28259,3606|28259,4689|28259,4864|35316,2487|36663,2995|36663,7958|36663,8997|36663,13141|38917,2861|38917,2897|38917,2953|38917,4326|38917,4371|38917,4419|38917,4474|38917,4541|38917,4600|38917,4640|38917,4680|42032,3705|42032,3757|43111,22712|43111,25023|45326,5834|45326,7481
데미지에는 42032,4752
데미지의 28259,2925|38917,7764
데미지회복속도 39470,1074|39470,1554|39470,1571|39470,1938|39470,4232|39470,5057|39470,6017|39470,6925|39470,9870|39470,10718|39470,11250|39470,11502|39470,12009|39470,15221|39470,15341|39470,15388|45326,2136|45326,4706|45326,4756|45326,4803|45326,4855|45766,1540|45766,1557|45766,1906|45766,4242|45766,5086|45766,6037|45766,6943|45766,9848|45766,10743|45766,11275|45766,11518|45766,11992|45766,15229|45766,15406|45766,15454
데빌 51013,5665
데스 27798,21496
데스기아 38917,27450
데스기어 39470,3848|39470,9509|45766,3840|45766,9508
데스기어s가이트 47038,21547
데스기어s게힐 23733,24927
데스기어s나벨 47038,21441
데스기어s무스켈 26754,21867
데스기어s베기아데 26774,22023
데스기어s비레 33119,22110
데스기어s제레 23733,25035
데스기어s케뮤트 26754,21977
데스기어s파오스트 26774,21914
데스기어s페르제 33119,22002
데스기어가이트 47038,8630
데스기어게힐 23733,10875
데스기어나벨 47038,8528
데스기어무스켈 26754,9119
데스기어베기아데 26774,9321
데스기어비레 33119,9198
데스기어제레 23733,10958
데스기어케뮤트 26754,9225
데스기어파오스트 26774,9216
데스기어페르제 33119,9114
데스베놈해머 27445,15875
데스페라이즈 33645,7336
데스페라이즈g 33645,26408
데아베르트 43111,5795
데이터 19406,26|21815,26|24789,38|25899,27|27445,26|27798,26|33645,28|37097,39|43111,29|45997,29|49792,27
데저트 51013,3507
데저트다이버 37097,8464
데저트다이버g 37097,27304
데저트스링 43111,1926
데저트스링거 43111,2160
데저트스톰 24789,1664
데저트콘 27445,19771
데저트테일 24789,26716
데저트템페스트 24789,11680
데저트템페스트g 24789,34282
