독1 24789,24454
독감소 39470,2841|39470,6236|39470,6470|39470,6699|39470,8002|39470,11389|45326,1417|45766,2830|45766,6258|45766,6718|45766,8002
독강화 25899,5386|25899,5617|25899,9932|25899,10056|25899,10187|25899,10364|25899,10507
독고기 21033,916|29127,2177|29127,3166|29127,4506|38917,2337
독괴조 36760,9211|36760,9407|36760,9463|36760,9594|36760,9703|36760,10098|38161,1380|38161,1401|38161,6318|38161,6408
독괴조머리 21815,17311|23733,16330|23733,21644|24789,34100|27445,15779|27445,31498|27798,21899|33645,5081|33645,5252|37097,16517|38917,15793|39826,3840|39826,9567|43111,2397|43111,2608|43111,2998|43111,18896|45794,5224
독괴조석두 21815,17721|23733,29348|23733,32792|25899,5576|27445,16364|27798,22246|33645,3163|33645,18336|33645,29864|37097,16810|37097,27096|38917,15820|39826,9423|43111,3216|45794,5259
독괴조자강익 19406,3848|19406,3905|21815,17510|23733,32752|24789,37005|25899,9805|26754,29032|26774,29023|26774,31577|27445,16150|27445,16355|33119,29351|33119,31846|33645,28300|33645,30919|37097,16796|38917,15905|43111,18904|47038,28553
독괴조자익 21815,17241|21815,17293|23733,21606|25899,3050|26754,18840|26774,18983|27445,16169|33119,18969|33645,5244|33645,13987|33645,29855|37097,11573|38917,15878|47038,18638
독낭 19406,6931|19406,8822|19406,9056|19406,9260|19406,34018|26754,2520|26754,3128|26754,4181|26754,4738|26754,9002|26774,4942|27445,10398|27445,15771|27798,9467|33013,10449|33119,4980|33645,4922|33645,7594|33645,8040|33645,17692|33645,17742|33645,29872|37097,2804|38917,12092|43111,2408|43111,2456|45794,755|45794,3920|47038,3381|47038,4230|49792,10811
독늪에는 36663,15260
독니 36760,9307
독데미지로 36663,2111
독룡검 27798,18708|33645,22783|33645,22986|33645,23199|33645,23440
독립되서 35316,1730
독무효 39470,1176|39470,1482|39470,5663|39470,5948|39470,6703|39470,11400|45326,1395|45326,2075|45326,2200|45766,1144|45766,1471|45766,5667|45766,5965|45766,6722
독무효술 36663,9150
독배가 39470,831|39470,2147|39470,4053|39470,5406|39470,5551|39470,5627|39470,9719|39470,14161|45326,1445|45766,873|45766,2110|45766,4063|45766,5382|45766,5539|45766,5613|45766,9729|45766,14198
독버섯 19406,8875|21033,923|21033,1090|21033,2191|21033,3194|21033,3597|21033,5597|25030,2955|25899,19655|28259,4209|29127,2588|29127,3931|33013,5715|33013,5719|33013,5723|36760,2111|36760,3753|36760,3767|36760,3790|36760,4008|36760,4022|36760,4154|36760,4193|36760,4463|36760,4487|36760,4511|36760,4952|36760,4976|36760,5428|36760,8737|36760,8784|38917,6749|39826,1526|39826,6001|39826,6037|39826,7247|43998,566|43998,570|43998,589|43998,2320|43998,2344|43998,2614|43998,4446|43998,4450
독병 21033,3591|25899,19631|29127,848|29127,5808|36760,5644|38917,11590|45794,3928
독병이 45326,4021
독병주 45794,3892
독병추가 23733,17691|23733,29459|26754,26225|26774,15251|26774,26128|33119,15355|33119,26239|45326,4008|45326,4016|45766,6486|45766,11413|45794,3896|47038,14903|47038,25682
독불장군에게 38161,1055|38161,1073
독사 21815,8377|21815,29933
독상태 36663,6633
독상태가 36760,250
독상태로 36663,7421|38917,11614
독상태를 36663,6640
독상태에 36663,9166
독속성200 38917,2383
독아 21815,8183
독에 36663,2087|45326,1399
독연기구슬 21033,1079|36993,602|38917,3588
독을 36663,1356
독의 45326,1421|45326,1450
독의왕 21815,17655
독축적치 25899,19643|28259,4191|28259,4246
독침 51013,4891
독탄 21033,3186|21033,3219|28259,4171|28259,4228|29127,234|29127,5194|38917,11124|38917,11158
독탄lv1 28259,8399|37097,33359
독탄lv2 37097,33480
독퇴 27445,16290
독투성이 36760,9992|38161,6218
독투성이의 38161,715
독투척나이프 21033,2178|25030,6206|36760,1558|38917,31290
독특해서 19406,35379
독해독 38917,810|38917,1667|38917,5981|38917,6296
독호 19406,26724
