레귤러라고 36663,9916
레그 51013,10598|51013,10679
레그루스 19406,25102
레더라이트s메일 26754,11637
레더라이트s벨트 47038,11279
레더라이트s암 26774,11781
레더라이트s헬름 23733,13851
레더라이트u메일 26754,16650
레더라이트u벨트 47038,16292
레더라이트u암 26774,16743
레더라이트u헬름 23733,19266
레더라이트메일 26754,287
레더라이트벨트 47038,347
레더라이트암 26774,285
레더라이트헬름 23733,287
레드 51013,3336
레드샤벨 27798,9983|33645,15027
레드스트라이프 21815,19216
레드스트라이프g 21815,29228
레드시저 21815,19400
레드윙 21815,18515
레드테일 19406,19883
레드피어스 23733,7999
레몬오일 42032,1118
레벨 36663,3750|42032,309
레벨up을 36663,2422
레벨로 36663,2753
레벨에 42032,444|42032,524
레벨을 45326,3417|45326,3467|45326,3516|45326,3567|45326,3618|45326,3672|51013,14421
레벨이 25899,21495|25899,21716|25899,22131|51013,11508|51013,11542|51013,11577|51013,11612
레시피는 21033,6215
레어 36993,1769|36993,2462|38917,69|38917,7816|38917,8888|38917,9728|38917,10354|38917,11461|38917,11863|38917,19099|38917,27537|38917,28197|38917,28943|38917,30661|38917,31452|38917,31688|39470,177|39470,2226|39470,3355|39470,4839|39470,7185|39470,9000|39470,10974|39470,13547|45766,179|45766,2189|45766,3339|45766,4829|45766,7179|45766,8961|45766,11025|45766,13519|51013,11950
레어1 19406,114|21815,104|24789,120|25899,117|27445,104|27798,104|33645,106|37097,125|43111,111|45997,111|49792,597
레어10 19406,154|21815,144|24789,157|25899,154|27445,144|27798,144|33645,146|37097,162|43111,151|45997,151|49792,637
레어4 19406,124|21815,114|24789,127|25899,124|27445,114|27798,114|33645,116|37097,132|43111,121|45997,121|49792,607
레어5 19406,129|21815,119|24789,132|25899,129|27445,119|27798,119|33645,121|37097,137|43111,126|45997,126|49792,612
레어6 19406,134|21815,124|24789,137|25899,134|27445,124|27798,124|33645,126|37097,142|43111,131|45997,131|49792,617
레어7 19406,139|21815,129|24789,142|25899,139|27445,129|27798,129|33645,131|37097,147|43111,136|45997,136|49792,622
레어8 19406,144|21815,134|24789,147|25899,144|27445,134|27798,134|33645,136|37097,152|43111,141|45997,141|49792,627
레어9 19406,149|21815,139|24789,152|25899,149|27445,139|27798,139|33645,141|37097,157|43111,146|45997,146|49792,632
레어도 23733,64|23733,625|23733,1590|23733,4879|23733,7266|23733,13584|23733,19115|23733,23156|23733,28799|23733,34129|24789,175|24789,4507|24789,7168|24789,10426|24789,14854|24789,16702|24789,21714|24789,27301|26754,64|26754,642|26754,1526|26754,4520|26754,6554|26754,11384|26754,16499|26754,20133|26754,25580|26754,30263|26774,63|26774,627|26774,1643|26774,4725|26774,6870|26774,11528|26774,16592|26774,20291|26774,25539|26774,30265|33119,64|33119,634|33119,1697|33119,4761|33119,6893|33119,11628|33119,16621|33119,20336|33119,25629|33119,30460|37097,180|37097,2595|37097,5047|37097,7790|37097,11116|37097,12700|37097,16038|37097,20277|47038,63|47038,776|47038,1689|47038,4477|47038,6514|47038,11026|47038,16141|47038,19815|47038,25093|47038,29886|51013,10062|51013,10123|51013,10401|51013,10457|51013,10511|51013,10567|51013,10623|51013,10745|51013,10800|51013,10855|51013,10910|51013,10966
레어도에 19406,71|21815,61|24789,79|25899,72|27445,61|27798,61|33645,63|37097,84|43111,68|45997,68|49792,554
레어무기 51013,17549
레어트레져 51013,11925
레어트레져를 51013,16152
레어트레져을 51013,16188
레우스 39470,2942|39470,6885|45766,2936|45766,6905|51013,1502
레우스s가드 26774,16206
레우스s그리브 33119,16136
레우스s레깅스 33119,16218
레우스s레지스트 26754,16123
레우스s메일 26754,16037
레우스s암 26774,16104
레우스s캡 23733,18704
레우스s코트 47038,15763
레우스s폴드 47038,15657
레우스s헬름 23733,18592
레우스x 39470,12485|45766,12475
레우스x가드 26774,28255
레우스x그리브 33119,28328
레우스x레깅스 33119,28423
레우스x레지스트 26754,28272
레우스x메일 26754,28179
레우스x암 26774,28165
레우스x캡 23733,31946
레우스x코트 47038,27821
레우스x폴드 47038,27729
레우스x헬름 23733,31835
레우스가드 26774,6164
레우스그리브 33119,6105
레우스레깅스 33119,6175
레우스레지스트 26754,5801
레우스메일 26754,5732
레우스암 26774,6065
레우스캡 23733,6471
레우스코트 47038,5791
레우스폴드 47038,5722
레우스헬름 23733,6365
레이드 49792,13220
레이디 51013,3830
레이아 39470,2807|39470,6661|43111,24352|45766,2804|45766,6683|51013,1290
레이아s가드 26774,15697
레이아s그리브 33119,15673
레이아s레깅스 33119,15782
레이아s레지스트 26754,15698
레이아s메일 26754,15614
레이아s암 26774,15613
레이아s캡 23733,18176
레이아s코트 47038,15300
레이아s폴드 47038,15216
레이아s헬름 23733,18065
레이아x 39470,12171|45766,12163
레이아x가드 26774,27656
레이아x그리브 33119,27655
레이아x레깅스 33119,27747
레이아x레지스트 26754,27691
레이아x메일 26754,27581
레이아x암 26774,27564
레이아x캡 23733,31210
레이아x코트 47038,27201
레이아x폴드 47038,27109
레이아x헬름 23733,31092
레이아가드 26774,5824
레이아그리브 33119,5791
레이아레깅스 33119,5905
레이아레지스트 26754,5532
레이아메일 26754,5467
레이아암 26774,5712
레이아캡 23733,6118
레이아코트 47038,5529
레이아폴드 47038,5413
레이아헬름 23733,5999
레이징템페스트 19406,16580
레인바렛 24789,15231
레퀴엠스피어 19406,8210
레퀴엠스피어g 19406,29456
