몬스처엑기스 26774,29501
몬스터 23733,38424|28259,3936|31242,617|31242,1715|31242,2403|31242,3334|31242,3399|31242,3876|31242,4090|31242,4768|31242,5384|36663,636|36993,304|38161,24|38161,4338|38161,4492|38917,19124|45326,1883|51013,9593|51013,13888|51013,13919
몬스터가 19406,35909|19406,37040|25899,23542|36663,8870|36663,13848|38161,74
몬스터농즙 23733,18317|47038,32284
몬스터는 28259,3972|36663,1084|51013,17256
몬스터로부터 19406,36262|42032,4587|51013,13991
몬스터를 21815,35438|25899,22215|28259,1593|31242,3368|36663,902|36663,1302|36663,1928|36663,1996|36663,6252|36663,7416|36663,7539|36663,7665|36663,14149|38917,2273|43111,20916|43111,25826|45326,10091|51013,7690|51013,14031|51013,14063|51013,15833|51013,17361|51013,17408
몬스터배설물 21033,1145|21239,3271|21239,3299|21239,3744|21239,3751|33013,6216|33013,7228|33013,7388|33013,9581|33013,9771|33013,11173|38917,3345|39826,586|39826,1632|39826,6123
몬스터배설물을 33013,5884
몬스터에 28259,1150|33645,32683|36663,12092
몬스터에게 21815,35365|24789,40376|25899,22350|27798,29792|28259,1012|33645,32256|36663,796|36663,6450|36663,11875|38917,11369|42032,4342|45326,10201|45326,10307
몬스터에게는 28259,5266
몬스터엑기스 26774,26026|33119,26141|33119,29360|33119,31340|33119,33035|47038,25585|47038,26083|47038,27325
몬스터와 19406,36328|31242,536|37097,33104
몬스터의 19406,35508|19406,35637|19406,35687|19406,35841|19406,36360|19406,36567|19406,36922|21815,34989|21815,35611|25899,22280|25899,23307|25899,23354|28259,3571|33645,32791|35316,492|36663,662|36663,1220|36663,1262|36663,1709|36663,8710|36663,13888|38917,1608|38917,3168|43111,21001|43111,21385|45326,6057|45326,10154|45997,25528|49792,27009|51013,7518|51013,7558|51013,7596|51013,13274|51013,13351
몬스터의농즙 19406,18354|21815,3378|23733,14936|23733,15040|23733,15311|23733,16528|23733,17230|23733,21619|23733,21799|23733,30258|24789,17519|26754,14151|26754,14392|26754,18852|26754,19492|26754,24032|26754,26115|26754,26347|26774,12810|26774,12892|26774,13246|26774,14162|26774,14932|26774,18995|26774,19628|27445,5544|27445,7701|33013,7575|33013,7727|33013,9063|33013,11386|33119,14208|33119,18981|33119,19117|33119,21969|37097,12918|37097,26224|38917,11952|39826,2289|39826,2335|39826,6325|39826,6371|45794,5636|45997,1155|47038,11906|47038,13711|47038,14201|47038,15433|47038,16841|47038,18651|49792,12132|49792,12610
몬스터의엑기스 19406,1782|19406,12995|19406,19262|21815,2960|21815,3436|21815,29035|23733,29551|23733,31362|23733,32766|24789,27513|24789,32905|25899,5183|26754,32928|27445,4080|27445,5778|27445,30427|27445,30601|27445,31315|27445,35577|27798,11594|33013,7740|33013,9247|33645,2686|33645,12095|37097,21069|37097,26208|38917,11980|39826,3115|39826,6868|39826,9080|45997,1380|45997,10717|45997,23647|49792,12358
몬스터의체액 19406,11783|19406,14898|19406,16856|21033,5932|21815,9082|21815,9277|21815,14875|23733,2220|23733,3483|23733,3826|23733,4601|23733,4744|23733,8180|23733,9769|26754,3301|26754,3644|26754,4282|26754,8490|26754,11354|26774,2229|26774,3087|26774,3871|26774,4642|26774,5106|27445,7377|27445,12678|27445,17902|27798,2396|29127,1797|29127,3971|33013,7174|33013,7243|33013,8881|33013,9051|33013,11359|33119,1936|33119,2005|33119,4676|33119,8966|37097,26239|38917,11908|39826,648|39826,2264|39826,2310|39826,6302|39826,6348|45997,959|45997,15423|45997,22289|47038,2317|47038,7664|49792,4099|49792,6385
몬스터재료 38917,33503
몬스터중에는 28259,1613
몬스터중에서 38161,679
몬스터체액 23733,11139
몬참바벳 33645,25465
