몸길이 49792,26524
몸도 45997,25250
몸빵용으로 36663,12898
몸에 21033,6476
몸을 28259,6624|28259,6664|37097,32584|51013,13717
몸의 42032,5341
몸집이 37097,32899
몸통 26754,25|45326,10833|51013,7623|51013,10443|51013,10467|51013,10786|51013,10810
몸통과 45326,10916
몸통용 26754,9491|26754,9573|26754,10079|26754,10180|26754,10210|26754,10263|26754,10479|26754,10590|26754,22046|26754,22130|26754,22514|26754,22620|26754,22653|26754,22708|26754,22731|26754,22840|26754,24966|26754,25056|26754,25090|26754,25181|26754,31334|26754,31409|26754,31927|26754,32044|26754,33693|26754,33799|26754,33821|26754,33876
몸통장비 45326,10795
