반감 36663,9041|45326,2332|45326,5065
반감한다 43111,23348|45326,7535|45326,7684
반격을 43111,25924
반대로 33645,32606
반대의 36663,10461|43111,24899
반대편으로 25899,23555
반동 23733,12493|23733,19086|23733,25965|23733,32357|23733,33221|23733,35371|23733,35928|24789,265|24789,4595|24789,7256|24789,10514|24789,14942|24789,16790|24789,21802|24789,27390|24789,32522|26754,9455|26754,10633|26754,16472|26754,22875|26754,28632|26754,29422|26754,31623|26754,32079|26774,9553|26774,10719|26774,16565|26774,22900|26774,28629|26774,29419|26774,31461|26774,31965|28259,4553|28259,5305|28259,6445|28259,6467|28259,6516|28259,7029|28259,7794|33119,9608|33119,10819|33119,16594|33119,22998|33119,28798|33119,29634|33119,31739|33119,32217|37097,271|37097,2684|37097,5136|37097,7879|37097,11205|37097,12789|37097,16127|37097,20367|37097,25519|45326,3840|45794,2982|45794,3065|47038,8858|47038,10195|47038,16114|47038,22419|47038,28171|47038,28978|47038,31036|47038,31527
반동감소 28259,6918|28259,7764|45326,3846|45326,3884|45766,4403|45766,7092|45766,9958|45766,12665|45766,13027|45766,14168|45766,14392
반동감소스킬과 28259,6991
반동감소스킬도 45326,3775
반동값 28259,82|28259,787|28259,1254|28259,1886|28259,2594|28259,3101|28259,3781|28259,4136|28259,4933|28259,6507|28259,6525|28259,6539|28259,7041
반동값은 37097,33180
반동값이 37097,33155
반동경감 28259,6800
반동수정값 28259,6698
반동은 45326,3759
반동을 28259,7684
반동이 24789,40404|28259,7383|37097,32318|45326,3904
반드시 21815,35339|24789,40296|27445,37926|42032,4513|42032,4837|42032,4930|42032,5548|45326,2775|45326,5853|45326,6883|45326,9943|45326,10242|51013,17393
반면 27445,38418
반복이 43111,22042
반액 29127,2792|29127,3241
반액에 29127,2772|29127,3221
반으로 45326,1348|45326,1428|45326,1512|45326,1597|45326,2522
반은 25899,23363
반의 38917,2662|38917,3019
반이 36663,6170
반짝송이버섯 36993,1950|36993,4626
반짝팽이버섯 36760,2139|36760,2678|36760,3828|36760,5458|36760,8075
반해 19406,35470|43111,25761
