염검리오레우스 21815,18716
염검리오레우스g 21815,32909
염두에 19406,35747|27798,29590
염룡강조 25899,13055|26774,32067|27798,22928|37097,20063|37097,23094|38917,25355|49792,25765
염룡발톱 21815,21640|26774,10815|26774,22983|27798,22508|27798,22552|27798,22741|33119,10540|38917,25329|39826,5292|49792,21263
염룡보옥 19406,26195|21815,22722|21815,27088|23733,26066|26754,25470|26754,32237|26774,31754|27445,21589|27445,25673|27798,22755|33119,31974|37097,14069|37097,14345|37097,30994|38917,25435|39826,5514|43111,6519|45794,3223|47038,31614|49792,3031|49792,20687
염룡익막 21815,16169|23733,12214|26754,10347|26754,10723|26774,10428|27445,21374|27798,22525|33119,10378|33119,10528|33119,10917|33645,24888|38917,25381|39826,7830|43111,6111|45794,952|47038,9748|47038,9899|49792,2600
염룡진분 19406,26011|21815,26903|23733,23778|25899,12925|26754,22568|26754,22961|26754,25168|26754,32181|27798,18333|33119,23097|33119,31967|33119,32308|38917,25409|43111,13079|43111,13123|45794,2173|49792,3021
염린의가호 39470,14278|39470,14436|45326,2190|45766,14307|45766,14465
염비룡갈기 23733,12201|25899,12808|26754,10334|26774,10440|26774,31741|37097,6706|37097,14081|38917,25549|43111,6064|47038,20725|49792,2634
염비룡갑각 23733,35646|25899,4953|25899,5008|26774,10415|27445,21206|33119,10515|37097,6682|38917,25486|43111,6053|43111,6306|45794,2501|47038,20598|49792,2592|49792,2652
염비룡견각 23733,35633|25899,13073|26754,31897|37097,14055|37097,30981|38917,25522|43111,6716|45794,8839|49792,3229|49792,25566
염비룡견갑 26774,31728|33119,31959|47038,31279
염비룡꼬리 26754,25042|38917,25575|39826,3947|43111,6045|43111,6103|49792,2835
염비룡뿔 27445,21199|33119,25117|33645,24931|38917,25602|39826,3956|47038,9887|49792,2642|49792,2825|49792,9337
염비룡첨각 26754,31840|27445,21570|27445,21773|38917,25631|43111,6500|45794,6161|47038,31271|49792,3013|49792,3221|49792,25575
염산 51013,4625
염숙망고 42032,1133
염신검아그니 33645,16790
염왕룡갈기 25899,12797|26754,10711|27798,22562|37097,6993|38917,25751|47038,10280|47038,22517|47038,31600
염왕룡갑각 19406,26000|21815,26892|26774,10803|27445,21381|33119,10905|37097,6969|38917,25661|39826,2209|45794,2100
염왕룡강각 19406,26372|21815,27268|21815,30957|23733,36004|38917,25891
염왕룡견각 19406,26184|21815,27077|23733,24402|23733,36030|25899,12789|26754,22972|26774,21435|26774,22970|33119,21568|33119,23085|37097,14357|38917,25697
염왕룡꼬리 19406,25992|38917,25777|39826,6234|43111,6298|49792,8328
염왕룡뿔 21815,1629|23733,12565|33645,25051|38917,25832|39826,2232|49792,9131
염왕룡인미 19406,26380|38917,25804|43111,6724
염왕룡종각 26774,32054
염왕룡중각 21815,27276|26754,32169|33119,32283|37097,23081|38917,25724|39826,4477
염왕룡첨각 19406,26176|21815,26884|21815,27069|23733,26040|38917,25861|45794,2133|49792,8528
염용린 21815,21499|23733,12577|26754,10359|33645,15471|37097,6695|37097,6982|38917,25230|43111,6121|47038,9522|47038,9911|47038,10292|49792,2610
염제 51013,5082
염제의 38917,30312
염참 21815,3691|49792,19162|49792,19396
염참계 49792,18984
