위기와 51013,15973
위기주 45794,6318
위난주 45794,6373
위때문에 43111,21753
위력 28259,70|28259,394|28259,775|28259,1064|28259,1242|28259,1759|28259,1874|28259,2229|28259,2582|28259,3049|28259,3089|28259,3465|28259,3502|28259,3769|28259,4124|28259,4921|28259,7824|28259,7855|28259,7881|28259,7912|28259,7943|28259,7969|28259,8000|28259,8031|28259,8062|28259,8092|28259,8122|28259,8155|28259,8181|28259,8212|28259,8240|28259,8266|28259,8294|28259,8322|28259,8350|28259,8378|28259,8409|28259,8440|45997,26537|49792,26543
위력150 38917,31114
위력500 38917,31160
위력에 28259,2288|28259,2901|28259,3557
위력에는 36663,3036
위력에서 28259,2977
위력은 28259,458|28259,2885|28259,7659|36663,8954|36663,9098|42032,5131|43111,21808|43111,22009|43111,25550
위력을 21815,35475|36663,2982|45326,2970|45326,3020|45326,3067
위력의 43111,22628
위력이 19406,35830|21815,35072|25899,21729|27445,37093|27445,37731|27798,28766|28259,590|28259,733|28259,1201|28259,1831|36663,8946|42032,3602|42032,4082|42032,5171|42032,5209|43111,22299|43111,22384|43111,23432|43111,23488|43111,23749|43111,25490|45326,5505|45326,5585|45326,9262
위력인 43111,26100
위로 33013,3564|38161,3113|38917,4531
위로베기 21815,34462|21815,35746|21815,35765|49792,26176|49792,26195|49792,26384
위로베기를 21815,35880
위를 43111,22507
위에 25899,21686|25899,21985
위엽 51013,16815
위와 25899,22260
위와같음 45997,725|45997,870|45997,1048|45997,1252|45997,1487|45997,2258|45997,2702|45997,3207|45997,3429|45997,4000|45997,4570|45997,4765|45997,5051|45997,5282|45997,5528|45997,6064|45997,6255|45997,6837|45997,7068|45997,7323|45997,7962|45997,8160|45997,8607|45997,8843|45997,9110|45997,9733|45997,10277|45997,10595|45997,11166|45997,11678|45997,12256|45997,12460|45997,13034|45997,13494|45997,13739|45997,14492|45997,14978|45997,15529|45997,15730|45997,15998|45997,16710|45997,17177|45997,17751|45997,18025|45997,18590|45997,19164|45997,19382|45997,19863|45997,20444|45997,21012|45997,21498
위의 28259,7495
위주로 19406,35461|19406,35481|36663,12890
위찌르기 43111,19721
위치 19406,36188|19406,37248|21239,269|21239,562|21239,844|21239,1162|21239,1542|21239,2061|21239,2898|21239,3196|21239,3572|21239,3992|21239,4309|21239,4818|25030,402|25030,1492|25030,2495|25030,3365|25030,4398|25030,5347|25030,6093|25030,6852|25030,7725|25899,20727|25899,23432|33013,96|36663,15304|36760,344|36760,726|36760,1703|36760,2354|36760,3670|36760,4380|36760,5096|36760,5819|36760,6608|36760,7519|36760,8452|38917,3173|43998,262|43998,491|43998,956|43998,1372|43998,1879|43998,2157|43998,2470|43998,2740|43998,3330|43998,3988|43998,4371|43998,4633|43998,5238
위치가 38161,274|38161,1448
위치를 35316,497|38917,1613|45326,6062
위치에 37097,32949
위한 19406,35987|19406,36876|38161,5913
위한다기 19406,36862
위해 36663,1044|36663,9570|36663,9786
위해서는 19406,36942|43111,21247
위해서도 19406,36989
위해서라도 27445,37515
위험도가 43111,21084
위험이 25899,22683
위험주 45794,6272
위험한 38917,1937
위협 36663,671|36663,1229|38161,757|38161,3173|38161,3194
위협시 38161,939
