전개가 19406,36831
전갱이 21033,3005|21033,3712|21239,1468|21815,21036|23733,5110|23733,5228|23733,17058|23733,17152|25030,1213|25030,1260|25030,1295|25030,1351|25899,19603|27798,5573|28259,3229|29127,2598|29127,3337|29127,4245|33013,4854|33013,4868|33645,5970|36760,541|36760,3451|38917,8933|39826,1293|39826,5843|39826,7090|43998,3272|43998,5820|43998,5873|45794,7208|49792,4093
전격 51013,12711
전격2g티켓 25899,17918|38917,30201|39826,1039
전격낭 19406,1776|19406,30234|21815,4919|24789,16228|25899,9268|25899,9309|25899,9465|26774,21884|27445,9653|27445,17282|27445,17342|27798,12598|27798,12773|33013,6720|33119,22632|33119,26316|33645,28309|38917,12401|43111,14968|43111,15020|45997,8270|45997,8742|45997,23061|47038,13843|47038,22048|49792,1981
전격브레스 19406,36710
전격제 36760,9944|36760,10120|38161,2594|38161,2663|38161,7383
전격탄 21033,3025|28259,3246|28259,8314|29127,703|29127,5054|37097,33260|38917,10957
전격티켓 27445,28038|27445,28169|27445,34301|38917,30150|39826,764
전격티켓g 27445,28161|27445,28335|27445,34311|38917,30175|39826,782
전국시대 21239,5587|31242,2699|38161,5651
전기 43998,6282
전기낭 19406,8646|21815,4680|23733,8259|24789,3767|24789,5304|25899,9006|26774,8966|26774,13039|26774,17914|27445,16695|27445,16784|27445,16982|27445,17085|27798,12458|33013,6559|33119,9919|33645,4433|33645,4595|38917,12374|45794,7410|45997,7808|45997,7849|45997,8505|47038,9283|49792,1595|49792,23468
전내성 23733,9807|23733,11664|23733,11735|23733,11852|23733,11913|23733,15150|23733,15210|23733,16788|23733,19969|23733,25530|23733,25595|23733,29752|23733,29825|23733,34621|23733,35486|23733,35558|26754,8349|26754,9811|26754,9994|26754,10053|26754,12915|26754,12975|26754,14590|26754,17366|26754,22418|26754,26427|26754,31062|26754,31135|26754,31745|26774,8385|26774,9906|26774,10080|26774,10139|26774,12946|26774,14546|26774,17444|26774,22414|26774,26382|26774,26455|26774,31534|33119,8521|33119,9845|33119,10018|33119,10077|33119,13107|33119,14598|33119,17482|33119,22554|33119,26527|33119,26599|33119,31186|33119,31813|39470,4085|39470,4161|39470,5477|39470,9752|39470,11593|39470,13843|39470,13858|39470,14208|39470,14240|45326,565|45326,572|45326,607|45326,640|45326,674|45326,709|45326,744|45766,4102|45766,4169|45766,5453|45766,7563|45766,9761|45766,11612|45766,13834|45766,13850|45766,14270|45794,263|45794,6961|45794,7003|45794,7050|47038,9212|47038,9382|47038,9441|47038,12505|47038,14114|47038,17026|47038,21971|47038,25936|47038,26007|47038,30443|47038,30514|47038,31134|47038,31202
전내주 45794,6957
전달 36663,10647|36663,10685|36663,10736|36663,11305
전달하므로 36663,10640
전달할 36663,10714
전도된 25899,22909
전략을 24789,40131|37097,31984
전레벨 28259,7507
전레벨의 28259,7433
전력 36663,526
전력업 45997,26351
전맵 39826,456
전명주 33013,7805|45794,7391
전무기 31242,3456|31242,3537|31242,3622|43111,22342
전무기전클리어에서 23733,13465|23733,13561
전방 38917,4585|43111,20718
전방을 43111,22908
전방찌르기 43111,19705|43111,20300|43111,21824|43111,22030
전방찌르기는 43111,22002
전방찌르기보다 43111,22291
전방찌르기에서 43111,22890
전법으로 45326,10185
전법을 21815,35543|21815,35580
전법이 21815,35291
전부 25899,22893
전설 51013,7358|51013,9633
전설의 51013,14596|51013,15437|51013,16645
전설의반지 51013,13817
전설의쌍인c 33645,21479
전설의쌍인g 27798,28085
전설의쌍인ｃ 27798,19737|27798,19895
전설코인g 26774,30805|31242,3215|33119,31105
전속성탄 28259,5996|28259,7096
전속성탄을 28259,6401
전술 19406,35435|21815,35223|25899,22742|27445,38169|27798,29546|33645,32782|36663,2026|37097,32826|43111,21364|45326,10121|45997,26482|49792,26876
전술도 33645,32143
전술에 45326,10013
전술을 21815,35167
전술의 43111,23761
전술이다 43111,24163
전스킬 51013,11855
전에 35316,9121|36663,2120|37097,33118|38917,3463
전용 21239,1655|21239,1866|25030,2194|36760,6995|38917,2286|38917,3747|38917,30785|43998,1657
전용의 31242,495
전원에게 45997,25849
전의 39470,95|45766,97
전작2nd 27798,29398
전작보다 43111,23859
전작에 43111,22247
전작에서는 43111,23477
전제로 25899,23423
전종류 51013,7695|51013,11824
전지역 45326,6961|45326,7068|45326,7121
전지역의 45326,7194|45326,7339|45326,7408
전직 36663,10409
전직도 36663,10465
전직시켜 36663,11021
전직시켰을 36663,334
전직시킨 36663,10510
전직시킬 36663,10443
전직시킵니다 36663,11058
전직은 42032,377
전직을 42032,335
전직이 36663,9953|42032,280
전직했을 42032,427
전진중에 27798,28457
전진찌르기 43111,19606|43111,19741|43111,20619|43111,21812|43111,22515|43111,22575|43111,22595|43111,22929|43111,23844
전진찌르기는 43111,22377
전진하면 36663,15051
전진한다 36663,15072|43111,22119
전창썬더버그 19406,4048
전체적으로 28259,7678|38161,699
전체적인 43111,23894
전총창풀볼트 43111,15321
전탄환을 25899,21917
전투 36663,13809|36760,9804|38161,237|38161,933|38161,5948|45326,2233|45326,2905|45326,4347
전투시 35316,10696
전투시의 36663,13101
전투장에서도 51013,13132
전투중에 36663,788|45326,4475
전투직전 35316,10283
전투훈련 31242,580|31242,3451
전투훈련을 23733,13552|51013,8352|51013,13666
전투훈련이면 31242,3392
전폭탄의 45326,9257
전해지는 51013,15805
전혀 36663,4865
전호 24789,14572
전후 36663,8668
