초공주 45794,162
초급 38917,3811|51013,12799
초기 33013,2136|36663,6468|36663,6515|36663,6597|36663,6649|36663,6704|36663,6870|36663,6959|36663,7048|36663,7137|42032,381
초기상태 33013,140|33013,237|33013,478|33013,869|33013,1474
초기체력 45326,439|45326,461|45326,483|45326,507|45326,530|45326,553
초단위 35316,50
초대 42032,4127|42032,4171|42032,5674|42032,6475|42032,7157|42032,7195|42032,7239|42032,7279|42032,7317|42032,7352|42032,7387|42032,7422|42032,7463|42032,7500|42032,7511|42032,7537|42032,7548
초대장 38161,7079
초대형 28259,1008
초록 36663,15647
초멸일문 21815,21751
초반부터 28259,2917
초보라도 21815,35181
초보자 51013,13474
초보자에게 19406,35392
초보자연습 31242,4677
초상룡을 51013,15588
초식룡의 21239,3388|21239,3427|38917,32657
초식종 29127,1165|29127,5286
초심자 51013,64
초심자는 25899,22817
초얀쿡포 37097,12095
초월 51013,7244
초월한 51013,15940
초의 43111,25107
초절일문 27798,19117
