행동 19406,35210|19406,35642|27798,29959
행동등 36663,13106
행동에 36663,4656
행동을 36663,4339|36663,9435|42032,5539|43111,20764
행동이 36663,8397
행동이라고 43111,21761
행동하는 25899,22925
행동할 49792,26964
행복이다냥 51013,16506
행상 29127,32|38917,29505|38917,29561
행상할매 28259,3419|29127,1629|38917,2355|38917,2416|38917,2473|38917,3103|38917,4801|38917,5224|38917,5798|38917,5873|38917,6208|38917,6244|38917,6283|38917,6339|38917,6377|38917,6443|38917,6486|38917,7124|38917,7349|38917,7394|38917,7510|38917,7556
행상할매등에게서 38917,32948
행상할매에게 21033,6947|38917,472
행운 39470,4397|39470,7931|39470,9291|42032,4159|42032,4179|42032,7203|42032,7247|42032,7287|42032,7519|42032,7556|45326,8308|45766,4414|45766,7920|45766,9254
행하지 36663,12858
행해 36663,10809
