호검아그니 33645,16576
호두 37097,10823
호랑이 21239,5784
호른 51013,10284|51013,10353|51013,10697|51013,11026
호리병으로 51013,15092
호박 51013,2846
호법 39470,14605|45326,2068|45766,14616
호수에서의 21239,5571|21239,5635|38161,5004|38161,5043
호신 36663,14431
호안 33645,19896
호염 25899,13504
호위 51013,419
호종 35316,8819|35316,10117|45997,14269
호창그라비모스 19406,9165
호창그라비모스g 19406,33928
호철 49792,14934
호포 43111,11753
호피주 42032,1220
호혈 27798,16134
호화고양이왕관 21033,5260|36993,1883|36993,3565
호환 27445,24586
호흘 27445,6644
호흡을 43111,25000
