것과 45690,24879
것도 21985,35571|21985,35595|28478,21460|28478,23161|30377,29857|30377,30020|30838,1602|39242,6136|39242,11130|39242,11790|39242,12293|39242,12409|39242,12912|39242,14793|39676,32028|39676,32325|45690,21683|48576,26402|48576,26743
것들 53592,14787
것들에 53592,13909
것들으로 44611,7619
것들을 31706,3698
것만으로 48576,26045
것보다 21985,36950|30024,37761
것보다는 24394,35098
것에 30838,3699|36224,31864|44611,3087|45690,25758
것으로 24394,35510|28478,22543|30024,36987|30024,37900|39242,197|39242,2418|44611,94|48576,26143|52371,26689|53592,17728
것은 21985,35183|21985,35677|21985,36750|28478,206|30377,29968|30838,701|39242,237|39242,4709|39242,4862|39242,14934|39676,32880|45690,454|45690,24952
것을 28478,23420|30024,37777|30377,29587|30377,29980|39242,14819|44611,4399|47905,10178|53592,17565
것이 21985,28137|21985,35535|21985,36343|21985,36394|21985,36888|24394,28141|24394,34496|24394,35121|24394,35551|27368,32427|27368,39996|28478,18029|28478,21324|28478,21584|28478,22490|28478,22930|28478,23232|28478,23444|30024,29227|30024,37004|30024,37785|30024,38147|30377,24387|30838,1044|30838,4814|36224,25706|39242,2920|39242,10606|39242,11173|39242,11281|39676,25425|39676,32165|39676,33126|44611,5876|45690,17744|45690,20390|45690,22477|45690,23957|45690,25953|47905,10238|48576,22007|48576,25665|52371,22741
것이고 47905,8262|47905,8333|47905,8410|47905,8480
것이다 24394,35592|30838,4820|45690,23963|48576,26408
것입니다 33821,3379|47905,10272
