골g 52371,22812
골괴 30024,11783|30024,11891|48576,5741
골괴g 30024,29360
골도 24394,21261|52371,7756|52371,7939|52371,8092|52371,23137
골드 53592,846
골드루나 42049,10538|48345,10581
골드루나가드 29353,24714
골드루나그리브 35698,24746
골드루나레깅스 35698,24826
골드루나레지스트 29333,24738
골드루나메일 29333,24659
골드루나암 29353,24636
골드루나캡 26312,27984
골드루나코일 49617,24208
골드루나코트 49617,24287
골드루나헬름 26312,27875
골드머로우 36224,15735
골드머로우改 36224,15932
골드발키리 27368,19434
골드어크리프스 36224,16152
골렘블레이드 24394,9010
골렘블레이드g 24394,28869
골렘블레이드改 24394,9210
골적 37895,4070|37895,9325|37895,9511|48576,383|48576,515
골총창 45690,494|45690,605
골트리코더 37895,8607|37895,10536|48576,13257
골트리코더改 37895,8657|37895,10547|48576,13520
