공간을 39242,11029
공격 21985,34924|21985,35326|21985,36064|24394,34418|24394,34760|24394,34963|24394,35029|24394,35316|24394,35333|26312,1310|26312,1385|26312,2776|26312,2848|26312,4260|26312,4335|26312,5365|26312,5431|26312,6456|26312,6525|26312,13306|26312,13374|26312,14208|26312,14274|26312,14602|26312,14678|26312,15792|26312,15894|26312,17390|26312,17497|26312,17800|26312,17866|26312,17986|26312,18291|26312,18390|26312,18697|26312,18760|26312,28134|26312,28204|26312,29043|26312,29103|26312,30040|26312,30151|26312,31320|26312,31441|26312,31875|26312,31996|26312,32052|26312,32162|26312,33150|26312,33525|26312,37712|26312,37774|27368,191|27368,4521|27368,7182|27368,10440|27368,14868|27368,16716|27368,21728|27368,27316|27368,32448|28478,269|28478,2091|28478,3504|28478,4433|28478,5776|28478,6428|28478,6902|28478,7928|28478,8866|28478,9515|28478,9865|28478,11150|28478,11961|28478,12643|28478,13126|28478,14102|28478,14588|28478,15097|28478,15442|28478,15784|28478,16248|28478,16591|28478,17553|28478,17767|28478,18050|28478,20975|28478,21249|28478,23149|28478,23285|29333,1231|29333,1310|29333,2706|29333,4065|29333,4879|29333,5839|29333,11296|29333,12008|29333,12348|29333,12426|29333,13651|29333,13753|29333,15052|29333,15351|29333,15535|29333,15796|29333,16098|29333,24886|29333,24947|29333,25786|29333,25906|29333,26693|29333,27791|29333,28218|29333,28322|29333,28377|29333,29367|29333,29684|29333,33612|29333,33674|29353,1264|29353,1384|29353,2897|29353,4283|29353,5119|29353,5183|29353,6133|29353,11375|29353,11476|29353,12148|29353,12472|29353,12548|29353,13687|29353,14999|29353,15353|29353,15417|29353,15536|29353,15794|29353,15900|29353,16164|29353,24817|29353,24937|29353,25765|29353,26657|29353,26748|29353,27755|29353,27859|29353,28203|29353,28305|29353,28359|29353,28451|29353,29689|29353,33524|29353,33584|30024,36217|30024,36389|30024,37291|30377,29815|30377,29895|30838,7405|30838,7462|30838,7549|35698,1241|35698,1353|35698,2938|35698,4318|35698,5159|35698,6212|35698,11534|35698,11601|35698,12188|35698,12624|35698,12701|35698,13709|35698,15099|35698,15418|35698,15595|35698,15874|35698,15976|35698,16193|35698,24975|35698,25044|35698,25858|35698,25917|35698,26021|35698,26804|35698,27847|35698,27943|35698,28368|35698,28472|35698,28528|35698,29578|35698,29899|35698,33737|35698,33798|36224,31925|36224,32750|36224,32825|39242,1105|39242,4722|39242,8323|39242,9610|39242,10082|39242,10161|39676,198|39676,2611|39676,5063|39676,7806|39676,11132|39676,12716|39676,16054|39676,20294|39676,25446|45690,20086|45690,20129|45690,20184|45690,20746|45690,20821|45690,21213|45690,21573|45690,21641|45690,21699|45690,22267|47905,85|47905,6120|48373,79|48373,121|48373,166|48373,6140|48373,6223|48576,400|48576,4180|48576,5697|48576,7504|48576,9336|48576,10770|48576,11839|48576,12619|48576,13909|48576,15194|48576,16165|48576,17346|48576,18192|48576,18750|48576,20020|48576,20601|48576,21176|48576,21649|48576,22030|48576,25193|49617,1335|49617,1413|49617,2964|49617,4158|49617,4838|49617,5827|49617,10933|49617,10999|49617,11650|49617,11720|49617,12067|49617,12152|49617,13237|49617,14607|49617,14711|49617,14965|49617,15139|49617,15393|49617,15500|49617,15756|49617,15817|49617,24434|49617,24502|49617,25293|49617,25467|49617,26207|49617,27299|49617,27394|49617,27768|49617,27869|49617,27924|49617,29286|49617,33075|49617,33135|52371,26701|52371,27014
공격x3 45690,21489|45690,21501|45690,21513|45690,21691
공격경향 39242,4890|39242,11726
공격경향이 39242,14990
공격계통 39242,4895|39242,5376
공격과 45690,22925
공격까지의 24394,35794
공격당하는 39242,802
공격도 30024,37922|30377,29171|39242,13982
공격등에 45690,21390
공격력 21985,406|21985,11257|21985,21326|21985,21709|21985,22265|21985,23205|21985,24073|21985,25245|21985,26436|21985,27471|21985,27844|21985,28160|24394,396|24394,8533|24394,21335|24394,22073|24394,22953|24394,23993|24394,24541|24394,24888|24394,26133|24394,27335|24394,27687|24394,28162|24394,35107|27368,40468|30024,394|30024,11800|30024,20681|30024,21846|30024,23050|30024,24292|30024,25335|30024,26250|30024,26987|30024,27544|30024,27897|30024,28394|30024,28940|30024,29248|30024,37765|30377,397|30377,3839|30377,8095|30377,9945|30377,10949|30377,13026|30377,13764|30377,14567|30377,15225|30377,15855|30377,16879|30377,17225|30377,18008|30377,18784|30377,19760|30377,20003|30377,20568|30377,20991|30377,21626|30377,22302|30377,23001|30377,23899|30377,24130|30377,24408|36224,400|36224,9175|36224,16972|36224,18390|36224,19618|36224,20650|36224,21212|36224,21555|36224,21896|36224,22803|36224,23580|36224,24700|36224,25103|36224,25727|37895,701|37895,785|39242,384|39242,1172|39242,2941|39242,3417|39242,3658|39242,3698|39242,3756|39242,9404|39242,10078|39676,32756|41496,1035|41496,1106|41496,1178|41496,2069|41496,2107|41496,6035|41496,7171|44611,3160|45690,512|45690,4054|45690,7820|45690,11461|45690,12528|45690,13372|45690,13960|45690,14327|45690,14737|45690,15461|45690,16222|45690,16737|45690,17263|45690,17767|48576,25860|52371,886|52371,7460|52371,12409|52371,12834|52371,13346|52371,14645|52371,15685|52371,17027|52371,17841|52371,18526|52371,18998|52371,19527|52371,20350|52371,20907|52371,21307|52371,21692|52371,22112|52371,22764
공격력down 42049,6800|42049,11745|42049,11758|42049,12317|47905,200|47905,231|47905,259|48345,6802|48345,11756|48345,12307
공격력up 42049,624|42049,1248|42049,1264|42049,1902|42049,2544|42049,2971|42049,4757|42049,5096|42049,5260|42049,5732|42049,6398|42049,6544|42049,6611|42049,6915|42049,10633|42049,10649|42049,11195|42049,11208|42049,11298|42049,11317|42049,12515|42049,12587|42049,13077|42049,13258|42049,15133|42049,15142|44611,1490|44611,1515|44611,1653|44611,1663|44611,1762|44611,1812|44611,1964|44611,1996|44611,2006|44611,2208|44611,2218|44611,2228|44611,2238|44611,2248|44611,2640|44611,2756|44611,2859|44611,2885|44611,2932|47905,91|47905,128|47905,162|47905,2873|48345,646|48345,1223|48345,1242|48345,1861|48345,2504|48345,2963|48345,4755|48345,5204|48345,5742|48345,6412|48345,6567|48345,6933|48345,10671|48345,11243|48345,12503|48345,12583|48345,15149
공격력강화 37895,664|37895,721|37895,4193|37895,4388|37895,4658|37895,6155|37895,6374|37895,6695|37895,6960|37895,8829|37895,9177|37895,9332|37895,9569|37895,9773|37895,10163|37895,10332|48576,496|48576,2451|48576,2893|48576,4328|48576,8459|48576,14099|48576,14329|48576,14825|48576,15390|48576,16335|48576,16547|48576,17022|48576,18984|48576,19712|48576,20136|48576,20719|48576,21872|48576,22158|48576,22395|48576,22656|48576,23764|48576,24845
공격력강화등을 48576,26930
공격력강화술 39242,8018
공격력과 24394,34752|39242,3104|39242,3324|39242,3494|39242,9651|39242,10133|52371,26657
공격력도 30024,37217|30377,29503|36224,32660
공격력에는 27368,40026
공격력은 28478,21306|39242,2971|39242,3026|39242,12060|39676,31851
공격력을 21985,37134|30024,37159|39242,6500|39242,11576|41496,11565
공격력의 27368,40477|39676,32770
공격력이 30024,36944|30838,4837|39242,948|39242,6879|39242,6968|39242,7057|39242,7146|39242,7239|39242,8036|39242,9386|39242,9509|39676,32719|44611,4561|44611,4790|45690,23403|45690,24534|47905,100|47905,137|47905,171|47905,212|47905,243|47905,271|47905,5273|47905,5466|47905,10662
공격력이1 44611,4237
공격로부터 30024,37973
공격만을 45690,21168|45690,23541
공격받을 30377,29687
공격방어 39339,600|39339,3499
공격보다 30024,37088|45690,24493
공격보다는 48576,25633
공격보다도 45690,24248
공격성 39242,667|39242,1225
공격시에는 30377,29265
공격안함 39242,5348|39242,15003
공격에 24394,34983|28478,23323|30024,38240|45690,23867|45690,24021|47905,1759|47905,2737
공격에는 24394,34997
공격에도 44611,5299
공격연계 52371,26304
공격위력 28478,19619
공격으로 24394,34485|24394,35527|36224,32212|39676,32576|45690,20673|45690,22164|45690,23812|45690,25065|45690,25218
공격으로서도 48576,25743
공격은 21985,35132|21985,36572|24394,34475|24394,35309|30024,37246|30024,37406|30024,37954|45690,20355|45690,21845|45690,22132
공격을 21985,35513|21985,36333|21985,36377|21985,36872|24394,35716|28478,19940|28478,21910|28478,22773|28478,23217|30024,38112|30377,28707|39242,717|39242,1684|39242,12399|39242,12854|39242,12868|39242,14291|39676,33066|41496,3694|44611,4348|45690,21463|45690,21530|45690,22635|45690,24743|45690,24906|47905,5007|47905,5027|47905,6511|52371,26565|52371,26745
공격의 28478,22844|28478,23359|30024,38055|30377,28762|30377,29602|45690,20410|45690,22065|45690,23512|45690,23768|48576,25679
공격이 21985,35541|21985,36674|24394,35054|28478,23258|30024,36701|30024,37939|36224,31874|36224,32549|40740,1424|44611,4287|44611,5477|45690,20382|45690,20513|45690,20897|45690,20987|45690,21407|45690,21414|45690,21708|45690,22049|45690,23997|48576,25986
공격이기 45690,20535
공격이라면 39242,14238
공격입니다 28478,233
공격주 48373,75
공격중 48576,26426
공격파생 36224,32042
공격포격 45690,24180
공격하게 30377,28856
공격하고 24394,35822
공격하기 21985,36937|28478,23501|30024,38260|39242,2098|45690,24391
공격하는 21985,35277|24394,35041|28478,22781|30024,37821|36224,32275|39242,2021|45690,22472|47905,10116
공격하면 30838,4569|52371,26589
공격하면서 45690,24130|45690,24206|45690,25441
공격하지 39242,4790|39242,12837|45690,26142
공격하지만 45690,22915
공격한다 28478,23470|39242,9078
공격한다면 30838,3587
공격할 21985,35615|21985,36182|21985,37062|30024,37434|30838,6272|36224,32704|44611,5495|45690,24699|45690,25784|45690,26113|47905,3868|48576,25538
공격할수 30024,38410|45690,20552|45690,22156|45690,22204
공격할시 44611,4556
공격해 30024,36972|45690,26130
공격해주는 30024,38275
공격해주자 24394,35395
공격했을 45690,25290|47905,3938|47905,3981
공격형 30377,28914
공격후 48576,25163
공격후에 45690,21429
공급과 39676,32067
공들여 53592,14937
공략수 53592,16742
공략수가 53592,17694
공략이 30838,3627
공력이 30024,37116
공방 24394,35160|30377,28687
공방시작품 30377,12335|30377,26502|36224,3597
공방시작품건해머 30024,5038
공사술 44611,5377
공용 47905,4350
공적을 53592,16007
공중 45690,21916|45690,22982|45690,24794
공중으로 45690,22959
공통 37895,3866|39572,2083|42405,459|42405,468|42405,890
공포 40740,553|40740,2816|46577,6132
