관계없기 39242,12065
관계없음 35592,1687|35592,1777
관계없이 39242,350
관련 39242,13125|39242,13442|39242,13812|39242,14434|45690,23689|53592,17449
관련계 47905,5937|47905,8773
관련이 35592,11882
관련한 53592,17554
관일반3 27368,26455
관절의 40740,270
관찰안 26312,10305|26312,10430|26312,11063|26312,11191|26312,30348|26312,31766|29333,28165|29333,30714|29353,8740|29353,8859|29353,26871|29353,28155|35698,28320|47905,8693|48373,8528|49617,8052|49617,8177|49617,26391|49617,27649
관찰주 48373,8524
관통 28478,20321|28478,22113|30838,843|30838,895|30838,946|30838,3204|30838,3265|30838,3325|30838,3387
관통1 27368,2835|27368,9625|27368,9916|27368,13441|27368,18860|27368,19174|27368,20913|27368,22998|27368,26171|27368,28587|27368,30900|27368,31488|27368,36326|28478,2167|28478,2171|28478,2275|28478,2396|28478,2573|28478,3694|28478,15864
관통1를 39676,32999
관통2 27368,20034|27368,20326|27368,29733|27368,30041|28478,2279|28478,3818|28478,3989|28478,4524|28478,6985|28478,8008|28478,10073|28478,11237|28478,12043|28478,12047|28478,12172|28478,12723|28478,12851|28478,13208|28478,14677|28478,15178|28478,15868|28478,15987|28478,15991|28478,16113|28478,16675|28478,17231|28478,17643|28478,18248
관통3 28478,2175|28478,2283|28478,2404|28478,2581|28478,2720|28478,2943|28478,4132|28478,4640|28478,4757|28478,4886|28478,5869|28478,5994|28478,6989|28478,7109|28478,7234|28478,7362|28478,8012|28478,8016|28478,8137|28478,8141|28478,8263|28478,8581|28478,8731|28478,9600|28478,10203|28478,10380|28478,10523|28478,10657|28478,10854|28478,11365|28478,11490|28478,12051|28478,12176|28478,12304|28478,12308|28478,12495|28478,12984|28478,13328|28478,13456|28478,14202|28478,14791|28478,15305|28478,16117|28478,16334|28478,16679|28478,16791|28478,17407|28478,17853|28478,19116|28478,19255
관통4 28478,912|28478,1132|28478,1302|28478,2724|28478,2947|28478,4292|28478,5085|28478,5248|28478,6117|28478,6305|28478,8145|28478,8267|28478,8447|28478,8451|28478,8589|28478,8739|28478,9727|28478,11010|28478,11241|28478,11369|28478,11494|28478,11624|28478,11829|28478,12180|28478,12312|28478,12499|28478,13216|28478,13336|28478,13464|28478,13623|28478,13759|28478,14332|28478,14681|28478,14795|28478,15532|28478,16460|28478,16795|28478,17857|28478,18256|28478,18377|28478,18632|28478,18874|28478,19120|28478,19259|28478,19374
관통5 28478,1484|28478,3115|28478,3365|28478,7565|28478,7786|28478,8271|28478,8455|28478,8593|28478,8743|28478,11628|28478,11833|28478,12503|28478,13631|28478,13932|28478,14466|28478,14922|28478,15190|28478,15317|28478,15654|28478,17861|28478,18381|28478,18507|28478,19124|28478,19378
관통은 28478,20744
관통의 28478,20657
관통주 48373,3239
관통탄 23612,2447|23612,2486|23612,2524|27609,5059|27609,5072|27609,5085|30838,762|30838,822|30838,875|30838,926|30838,4013|30838,5972|30838,6027|30838,6106|30838,6380|30838,7130|30838,7511|31706,540|31706,621|31706,692|31706,5495|31706,5573|31706,5648|41496,10504|41496,10539|41496,10574|47905,2998|47905,3010|47905,4306|48345,2745|48345,5522|48345,6669|48345,10680|48345,10753|48345,11328|48345,13276|48345,14649|48345,15177
관통탄2 41496,9094
관통탄lv1 30838,7932|39676,32911|39676,33278
관통탄lv1추가 47905,3167|48345,2569
관통탄lv2 30838,7989|39676,33286
관통탄lv3 30838,8020|39676,33294
관통탄全lv추가 48345,2600
관통탄강화 26312,5961|26312,9797|26312,15386|26312,18036|26312,28183|26312,28417|26312,29274|26312,30516|26312,31984|26312,33758|26312,36492|26312,37762|29333,5431|29333,8339|29333,13253|29333,15587|29333,22343|29333,24937|29333,25147|29333,26024|29333,29905|29333,32594|29333,33664|29353,5676|29353,8375|29353,13326|29353,15586|29353,24900|29353,25156|29353,25951|29353,29911|29353,32495|29353,33574|30838,1184|35698,5755|35698,8511|35698,13377|35698,15646|35698,25025|35698,25248|35698,30120|35698,32743|35698,33788|47905,2989|48373,3243|48373,3297|49617,5377|49617,12877|49617,15189|49617,24483|49617,24710|49617,29519|49617,32021|49617,33125
관통탄보다 30838,3597|30838,3641
관통탄부터 30838,349
관통탄을 47905,3150
관통탄이다 39676,32888
관통탄전레벨추가 47905,3134|48345,6629|48345,8498|48345,12114
관통탄추가 26312,5611|26312,5973|26312,18048|26312,22216|26312,31074|29333,5122|29333,5441|29333,15597|29333,19349|29333,27563|29353,5353|29353,5686|29353,15596|29353,19488|29353,27546|35698,5404|35698,5765|35698,15656|35698,19548|35698,27637|47905,3125|48373,3524|49617,5074|49617,5387|49617,15199|49617,19185|49617,27091
관통하면서 28478,22220
관통활위력up 47905,3002|47905,4310|48345,2749|48345,5526|48345,6673|48345,10684|48345,10757|48345,11332|48345,13280|48345,14653|48345,15181
관통활의 47905,3015
관하여 47905,10017
관한 30838,3580
관해서 45690,393
