근거리 28478,19615
근거리까지의 30838,407
근거리에 39242,1790
근거리에서 28478,21904|28478,23211
근거리에서의 24394,34925
근력운동 39242,10073|39242,10143|39242,11108
근성 26312,31573|26312,31644|26312,33157|26312,33228|26312,35882|26312,35951|29333,27959|29333,29360|29333,29429|29333,32032|29333,32100|29353,28010|29353,29364|29353,29426|29353,31867|29353,31980|35698,28082|35698,28152|35698,29571|35698,29641|35698,32171|35698,32231|42049,12357|42049,13060|42049,14370|47905,5782|47905,5788|47905,5913|48345,12383|48345,13023|48345,14400|48373,6434|48373,6486|49617,27487|49617,28925|49617,28985|53592,15945
근성도 28478,22715
근성주 48373,6430
근위대기계추 30024,5974
근위대대정식총창 45690,4898
근위대대정식총창g 45690,18452
근접 28478,19937|28478,23498|45690,20974
근접공격 27368,39642|28478,20960|28478,21233|39676,31624
근접공격도 28478,21359
근접무기 39676,32637
근접무기은 47905,4409
근접무기의 28478,23143
근처 39242,13453
근처까지 40740,3759|40740,4906|40740,5079
근처로부터 45690,25233
근처에 21985,35692|24394,35894|39242,13853
근처의 42405,109
