내균주 35592,7123|35592,7277|48373,816
내는 37895,60|39242,12151
내독주 35592,8960|48373,693
내려찍기 30024,36609|48576,25052|48576,25354
내려찍기가 48576,25479|48576,26546
내려치기 30024,36305
내마비주 35592,8127|48373,478
내면주 35592,8798|48373,609
내서 26312,265|26312,2960|26312,3021|26312,3865|26312,3933|26312,9117|26312,13777|26312,15957|26312,16067|26312,17255|26312,17325|26312,17807|26312,17873|26312,21316|26312,21378|26312,23659|26312,30846|26312,30908|29333,273|29333,2839|29333,3639|29333,7661|29333,11607|29333,13813|29333,13921|29333,14927|29333,15403|29333,18521|29333,20723|29333,27334|29333,27396|29353,271|29353,3007|29353,3866|29353,7695|29353,11751|29353,13803|29353,14875|29353,15360|29353,15424|29353,18669|29353,20686|29353,27322|35698,273|35698,3093|35698,3153|35698,3894|35698,7838|35698,11821|35698,13845|35698,14970|35698,15470|35698,18648|35698,20851|35698,27418|47905,6940|48373,7569|48373,7615|48373,7661|48373,7711|48373,7757|49617,264|49617,3075|49617,7121|49617,11249|49617,13354|49617,14483|49617,15016|49617,18356|49617,18416|49617,20231|49617,26892|49617,26953
내설 26312,1074|26312,1173|26312,5673|26312,5786|26312,17744|26312,17857|26312,20058|26312,20172|26312,25140|26312,25248|29333,1010|29333,1117|29333,5183|29333,15334|29333,17411|29353,246|29353,1031|29353,1131|29353,5435|29353,15295|29353,15410|29353,17488|29353,27300|35698,1005|35698,1107|35698,5466|35698,5578|35698,15401|35698,17571|35698,27401|37895,2773|37895,5782|37895,8403|37895,11874|42049,533|42049,2678|42049,6540|42049,7616|42049,12058|47905,1722|47905,1728|47905,2175|48345,553|48345,2662|48345,6598|48345,7629|48345,12042|48373,1131|48373,1179|48373,1219|48576,10998|48576,11513|48576,23307|49617,5135|49617,14948|49617,17071|49617,17185
내설주 35592,6346|48373,1127
내성 47905,592|47905,626|47905,659|47905,694|47905,729|47905,765
내성계 37895,2592
내성치로 42049,15447|48345,15513
내습 40740,7015|40740,7040
내에 39242,9841
내용은 35592,11935
내용주 48373,5846
내절주 48373,327
내진 26312,5744|26312,5809|26312,12439|26312,12514|26312,25919|26312,25988|26312,30853|26312,35875|26312,35944|26312,36638|29333,5267|29333,10580|29333,10647|29333,22828|29333,22896|29333,27341|29333,32025|29333,32093|29353,5517|29353,10667|29353,10740|29353,22854|29353,22921|29353,32636|35698,5535|35698,5599|35698,10767|35698,10840|35698,22952|35698,23019|35698,29073|35698,32868|37895,2967|37895,5818|37895,8442|37895,11882|42049,2718|42049,4394|42049,9923|42049,12062|42049,12853|42049,14374|42049,14696|47905,1747|47905,1753|48345,2702|48345,4411|48345,9966|48345,14421|48373,1012|48373,1059|48576,11034|48576,11533|48576,23319|49617,5217|49617,10142|49617,10216|49617,22372|49617,22440|49617,26843|49617,28434|49617,31480|49617,31541|49617,32145
내진주 35592,6842|48373,1008
내한 26312,272|26312,2967|26312,3028|26312,3872|26312,3940|26312,5730|26312,5795|26312,9028|26312,10641|26312,10728|26312,12265|26312,12338|26312,12599|26312,12660|26312,13787|26312,16014|26312,16076|26312,17262|26312,17332|26312,17814|26312,17880|26312,21323|26312,21385|26312,23587|26312,24814|26312,24896|26312,26077|26312,26139|26312,26701|26312,33532|26312,33588|26312,34807|26312,34950|29333,280|29333,2892|29333,3693|29333,5200|29333,7591|29333,8911|29333,10398|29333,10469|29333,10696|29333,11622|29333,13866|29333,13928|29333,14980|29333,15419|29333,18526|29333,20652|29333,21744|29333,22946|29333,23593|29333,29691|29333,29754|29333,31198|29353,278|29353,3017|29353,3918|29353,5451|29353,7625|29353,8987|29353,9069|29353,10481|29353,10550|29353,10788|29353,11766|29353,13808|29353,14927|29353,15367|29353,15431|29353,18674|29353,20615|29353,21793|29353,23016|29353,23074|29353,23555|29353,29696|29353,29759|29353,30911|35698,280|35698,3100|35698,3160|35698,3948|35698,5521|35698,5585|35698,7768|35698,8961|35698,10580|35698,10650|35698,10890|35698,11831|35698,13850|35698,15023|35698,15483|35698,18653|35698,20785|35698,21879|35698,23070|35698,23618|35698,29906|35698,29968|35698,31297|47905,7157|48373,6003|48373,6088|48373,7574|48373,7620|48373,7706|48373,7752|48373,7799|49617,271|49617,3080|49617,5151|49617,7052|49617,8298|49617,8380|49617,9955|49617,10024|49617,10265|49617,11264|49617,13359|49617,14535|49617,15029|49617,18363|49617,18423|49617,20161|49617,21334|49617,21411|49617,22490|49617,23148|49617,29293|49617,29354|49617,30578
