녹모수 40740,6681
녹모수강조 26312,32606|27368,23359|29353,28864|30377,7737|39676,27718|41496,17221|48373,3437|48576,4126
녹모수호강모 26312,32579|27368,23345|27368,36699|28478,3202|28478,3269|29333,28855|29353,28847|30377,7728|30377,7790|30377,8017|35698,29004|41496,17185|42405,4609|42405,8790|48373,3804|48576,3790|48576,3856|48576,4117|49617,28382
녹색 39242,5629
녹색씨앗 31706,1812|31706,2344|31706,2919|31706,3620|31706,4296|35592,1605|35592,1800|35592,1933|35592,1946|41496,7539|42405,1275|42405,3339|42405,5829|42405,7076
녹색이 33821,3794
녹슨 40740,7621|41496,27787|41496,27835|41496,27880|41496,27926
녹슨괴 23818,2575|27368,10253|27609,7320|39339,8876|41496,27712|42405,2344|42405,7946|46577,5396
녹슨단검 36224,18577
녹슨단검g 36224,26111
녹슨대검 24394,25085
녹슨대검g 24394,28564
녹슨봉형괴 21985,24201|21985,28667|23818,2584|23818,4968|41496,27900|42405,3968|42405,6405
녹슨작은괴 23818,4947|36224,18511|36224,26220|39339,8885|41496,27854|46577,5385
녹슨창 21985,24264
녹슨창g 21985,28611
녹슨추 30024,20873
녹슨추g 30024,29682
녹슨큰괴 23818,4958|30024,20811|30024,29738|39339,8896|41496,27810|42405,7968
녹슨판형괴 23818,2595|24394,25017|24394,28676|27609,7329|39339,8906|41496,27761|42405,2369
녹슬다 53592,5012
