높게 24394,35092|45690,21945
높고 21985,35124|28478,22177|30838,421
높기 45690,22303
높다 21985,35834|30838,1085|39242,12579|44611,4811
높다는 30377,29976
높아서 48576,25699
높아져 28478,23301
높아진다 44611,4417
높았다 30838,4737
높으면 39242,4316
높으므로 52371,27080
높은 24394,34749|24394,35571|30024,36952|30024,37774|30377,28879|30377,30059|30838,1159|30838,1666|30838,2922|30838,3018|30838,3603|30838,4574|36224,32097|39242,4369|39676,32479|40740,267|44611,3084|44611,5329|44611,5873|45690,22625|45690,23012|47905,6636|48576,25476|53592,14097
높은확률 42405,530|42405,542|42405,957|42405,969|42405,1370|42405,1382|42405,3008|42405,3020|42405,3458|42405,3470|42405,4373|42405,4385|42405,4898|42405,4910|42405,5608|42405,5620|42405,5913|42405,5925|42405,6813|42405,6825|42405,7160|42405,7172|42405,8524|42405,8536|42405,8944|42405,8956|42405,9374|42405,9386
높을수록 39242,4320
높이가 40740,304|40740,3083|45690,21849|45690,22069
높이나 39242,15158
높이는것이 21985,37139
높지만 39676,31856
