돌과 35592,12029|35592,12067
돌면서 36224,32800
돌사자인미 29353,29652|30024,19916|30024,20114|41496,16853|42405,4593|45690,2229|48373,450|52371,14576
돌사자중아 26312,33485|27368,26826|28478,15388|30024,19908|30024,20106|35698,29863|36224,12389|41496,16826|45690,2010|48373,3206|52371,14374
돌사자호강모 26312,33471|27368,26799|28478,3442|29353,29643|30024,19847|30024,19898|35698,29854|41496,16789|42405,4730|42405,8865|45690,2018|45690,2248|48373,7813|49617,29226|52371,14365
돌사자호강호 29333,29639
돌아다니며 24394,35239
돌아오면 31706,1670
돌아오므로 39242,1703
돌아오지 35592,11752
돌아온다 36224,32946
돌아왔을 35592,11923
돌을 27609,3510|27609,4109|27609,7116|27609,7647|39339,2636|39339,3228|39339,7907|39339,8044
돌진 21985,34651|24394,34955|27609,8520|27609,9166|27609,9345|30024,38237|39339,9516|39339,9520|39339,9526|40740,6371|40740,6375|40740,6381
돌진와 21985,34996
돌진은 21985,35905
돌진의 45690,25455
돌진이 45690,21042
돌진중 21985,34658|21985,34678
돌진해 28478,23480
돌파한 53592,13837
