발격주 48373,1844
발굴포인트를 53592,14112
발금 26312,12043|26312,12129|26312,25721|26312,25812|26312,28327|26312,28407|26312,37899|26312,37979
발도 21985,35172|26312,31022|26312,31930|26312,34891|26312,37909|29333,27511|29333,28256|29333,33809|29353,27494|29353,28239|29353,33701|35698,27586|35698,28407|35698,33915|36224,32088|40740,1421|45690,19563|45690,19679|45690,20699|47905,2759|47905,2804|48373,1776|48373,1848|49617,27041|49617,27805|49617,33259|52371,26074|52371,26928|52371,26950
발도공격 45690,19588
발도공격시 47905,2769
발도를 24394,34617|28478,21179
발도베기 24394,34611|24394,35254|36224,31833
발도술 30024,37889|42049,12133|42049,12525|42049,15232|47905,2765
발도시 24394,34534|24394,34549|24394,34563|28478,20863|52371,26133
발도시라면 45690,20712
발도시의 24394,34728|45690,22424
발도주 48373,1772
발도중 48576,26051
발동 24394,34435|37895,2369|39242,9267|39242,9279|39242,9293|42049,301|42049,2350|42049,3479|42049,4963|42049,7309|42049,9124|42049,11098|42049,13672|42049,15525|45690,23047|48345,303|48345,2313|48345,3463|48345,4953|48345,7303|48345,9085|48345,11149|48345,13644|48345,15591|48576,26591
발동되서 39242,14263
발동스킬 42049,287|42049,2336|42049,3465|42049,4949|42049,7295|42049,9110|42049,11084|42049,13658|47905,71|47905,1289|47905,2253|47905,2925|47905,4367|47905,5953|47905,8789|47905,10523|47905,10749|48345,289|48345,2299|48345,3449|48345,4939|48345,7289|48345,9071|48345,11135|48345,13630
발동스킬없음 42049,3816
발동시나 23612,7401
발동시는 45690,20005|45690,25507
발동시키기 39242,12504
발동시키는 28478,22537
발동시키면 39242,2705
발동시킨 47905,10065
발동에 21985,36602
발동에는 45690,23067
발동으로 45690,23343
발동이 21985,36625|45690,22018
발동하는 23612,6998|42049,15504|44611,5861|48345,15570
발동하는것이 30377,29913
발동하면 30377,29081
발동하지 47905,5879
발동한 21985,220|24394,210|28478,219|30024,210|30377,210|36224,212|45690,217|48576,217|52371,703
발동한다 30377,29289|37895,2411|39242,9343|39676,32452|47905,2785
발동합니다 44611,3238
발동효과 37895,9016
발딛으며베기 52371,26093|52371,26145|52371,26185
발로치면서 39242,14047
발리스타 47905,5553
발리스타의 41496,31195
발리스타총탄 41496,31170
발매시기 31706,1451|31706,1485|31706,1510|31706,1537|31706,1568|31706,1598|31706,4772|31706,4793|31706,6060|31706,6086|31706,6124|31706,6157
발밑 35592,5852
발밑에서 35592,5869
발밑에서는 24394,35858
발바로이블레이드 24394,6683
발바로이블레이드g 24394,30617
발바로이타스크 21985,11713
발사 27368,39631|28478,20724|30838,1071|39676,31611|41496,31244|45690,22885|45690,23031|45690,25369|45690,25393
발사각 45690,23126
발사까지 45690,25100
발사때 47905,3900
발사시의 30838,6440
발사하면 45690,22903
발사할 45690,25151
발사후 30838,401
발생 35592,607|35592,958|40740,6498|41496,3321|41496,6838|42049,15548|48345,15614
발생을 39242,14166
발생하는 48576,25815
발생하면 30024,38022
발생하므로 45690,25243
발생하지 30024,38095
발생한다 28478,23383|45690,25404
발생할수 39676,32220|45690,24933
발생할수도 39242,13961
발생했을 30024,38069
발을 45690,22405
발의 40740,261
발전된 53592,14373
발전한 53592,14148|53592,14190|53592,14303
발칸 53592,2025
발키리 53592,3408
발키리블레이드 24394,9365
발키리블레이즈 27368,12826
발키리파이어 27368,5752
발톱 42049,15441|48345,15507
발퇴 30024,36192
발퇴시 30024,36266
발할라 21985,7563
발할라g 21985,29112
발행한 53592,16015
발휘 39242,12109
발휘하지 23612,6449
발휘할 30377,28886
