변경 27368,39818|39676,31804
변경되어 39676,32798
변덕 23612,7016|26312,448|26312,2046|26312,5135|26312,5253|26312,9173|26312,13129|26312,13195|26312,14076|26312,19436|26312,23758|26312,27619|26312,27687|26312,27970|26312,28029|26312,36810|26312,36875|26312,37474|26312,37588|29333,466|29333,1948|29333,4808|29333,7713|29333,11215|29333,11866|29333,16805|29333,20821|29333,24482|29333,24701|29333,32839|29333,33414|29353,454|29353,2050|29353,5010|29353,7748|29353,11294|29353,12019|29353,16896|29353,20784|29353,24419|29353,24677|29353,32747|29353,33328|35698,456|35698,2111|35698,5017|35698,5087|35698,7890|35698,11410|35698,12123|35698,16917|35698,20942|35698,24569|35698,24789|35698,32978|35698,33554|44611,3219|47905,6671|48373,7979|48373,8036|48373,8347|48373,8385|49617,613|49617,2095|49617,4767|49617,7173|49617,10765|49617,10829|49617,11523|49617,16450|49617,20327|49617,24033|49617,24250|49617,32296|49617,32367|49617,32889
변덕스킬 44611,3203
변신 40740,2884
변종 33821,3922|33821,3953|40740,896|40740,1361|40740,1894|40740,2302|40740,2739|40740,3249|40740,3511|40740,4054|40740,5106|40740,5621|40740,6003|40740,6678|40740,6917|40740,8312|40740,8351|41496,16819|41496,17214|41496,17850|41496,18535|41496,18870|41496,19498|41496,20316|41496,20931|41496,26526|53592,2049|53592,3089|53592,4157|53592,5250|53592,6285|53592,7336|53592,16950|53592,16975|53592,16998|53592,17104|53592,17141|53592,17156|53592,17189|53592,17204
변종보고서 53592,13882
변종을 53592,13948
변하고 45690,25494
변하지 47905,6274|47905,6347|47905,6422
변한다 39242,15312|47905,8749
변화 28478,19624|30024,36705|35592,11947|47905,4049|47905,4104|47905,4159|47905,4214|47905,4269
변화는 39242,10384
변화되지 39242,10541
변화한다 30024,37298
변환의 48576,25184
