빙결 41496,1557
빙결미트볼 27609,3286|27609,5970|39572,2673
빙결정 21985,5533|21985,5601|21985,5791|21985,6012|21985,7483|21985,7631|21985,29204|23612,778|23612,812|23612,870|23612,3062|23612,5939|23818,2345|23818,2407|24394,964|26312,8454|27368,2629|27609,1925|27609,2585|27609,2629|27609,2686|27609,3612|27609,3664|27609,3708|27609,3904|27609,4201|27609,4221|27609,4268|27609,4479|27609,4518|27609,4572|27609,5428|27609,5475|27609,5537|27609,7238|27609,7286|27609,7346|27609,7800|27609,7836|28478,1787|28478,1852|28478,3655|28478,3943|29333,3808|29353,8799|30024,3986|30024,4064|30024,4277|30024,9257|30024,9451|30377,8510|30377,21173|30377,21218|30377,21380|30838,3350|35592,3890|35592,4016|35592,4020|35592,6122|36224,5946|36224,5990|36224,6152|36224,6334|36224,6521|36224,29680|39339,2747|39339,2793|39339,2851|39339,7699|39339,7754|41496,8392|42405,1625|42405,5028|42405,5108|42405,6116|45690,1181|48373,4527|48373,7290|48373,7642|48576,5937|52371,1120|52371,13559|52371,13966|52371,16768|52371,24883
빙결정딸기 23612,859|33821,4153|41496,7417|42405,1510|42405,5055|49617,23042
빙결주 35592,6676|48373,7265
빙결탄 23612,3053|30838,3306|30838,8342|31706,775|31706,5123|39676,33265|41496,10988
빙내성 26312,1124|26312,7839|26312,8437|26312,8800|26312,20812|26312,20872|29333,265|29333,6850|29333,7319|29333,18099|29353,1082|29353,7167|29353,7366|29353,18253|35698,265|35698,7185|35698,7491|35698,18201|37895,3553|37895,3652|42049,7934|42049,7964|44611,1805|44611,1936|44611,2556|44611,2950|44611,2980|47905,1065|47905,1072|47905,1079|47905,1095|47905,1101|47905,1117|47905,1124|47905,1140|47905,1148|48345,7934|48373,7269|48373,7309|48373,7354|49617,17885|49617,17943
빙내성강화 37895,3513|37895,3598|37895,5280|37895,5735|37895,7668|37895,8311|37895,11698|37895,11855|48576,6679|48576,9556|48576,10116|48576,10936|48576,11435|48576,23253|48576,23599|48576,24125
빙속성 30838,3331
빙속성을 39242,7038
빙아 36224,6454
빙염검빌머프레어 30377,22855
빙인 52371,16676|52371,16900
빙하주 35592,6824|48373,7305
