속공주 48373,4481
속도 30838,5397|47905,7214|47905,7288
속도가 27368,39905|30377,29179|39676,32711|39676,33049|47905,6615|47905,7359|47905,7428|52371,26488
속도는 37895,226|48576,26594
속도로 30838,6268
속도를 48576,26062
속도와 27368,40464
속도의 30838,5483
속복주 48373,8617
속빈뼈 42405,1255|42405,3356|42405,5821|42405,7068
속빈열매 23612,2376|23612,2413|23612,2451|23612,2490|23612,2567|23612,2605|23612,2679|23612,2870|23612,2973|23612,3000|23612,3029|23612,3057|23612,3123|23612,3160|23612,3189|23612,3261|23612,3337|23612,3400|23612,3430|23612,3535|23612,5780|23612,5785|23818,398|23818,983|23818,999|23818,1246|23818,1260|23818,1617|23818,1633|23818,1737|23818,1752|23818,3070|23818,3086|23818,3516|23818,3521|23818,4104|23818,4124|23818,4177|23818,4193|27609,817|27609,830|27609,843|27609,2324|27609,2350|27609,3088|27609,4791|27609,4824|27609,4847|27609,5007|27609,5032|27609,5744|27609,5890|27609,5915|29333,1315|29353,1340|30838,177|30838,228|30838,846|30838,898|30838,1310|30838,1360|30838,1967|30838,2666|30838,3165|30838,3224|30838,3285|30838,3345|30838,3841|30838,3890|30838,4204|30838,4320|30838,4440|30838,5054|30838,5104|30838,5160|31706,200|31706,5177|35592,1825|35592,2276|35592,2281|35592,7196|35592,7251|35592,10982|35698,1319|39339,6358|39339,6373|39339,6388|39339,6486|39339,6501|39339,6696|39339,6728|39339,7361|39339,7391|41496,4692|42405,1263|42405,4812|46577,1104|46577,1118|46577,2232|46577,2252|46577,2418|46577,4114|46577,4129
속사가 30838,7621
속사도 30838,7644
속사에 30838,7566|30838,7598
속성 27368,232|27368,4562|27368,7223|27368,10481|27368,14909|27368,16757|27368,21769|27368,27357|27368,32489|28478,19899|28478,20007|28478,20184|28478,21371|28478,21803|30024,37838|30377,29367|30377,29378|30377,29464|30838,3624|36224,32546|39242,15278|39676,236|39676,2649|39676,5101|39676,7844|39676,11170|39676,12754|39676,16092|39676,20332|39676,25484
속성강화계 37895,3026
속성공격 26312,4251|26312,4326|26312,9011|26312,11609|26312,11724|26312,16190|26312,20414|26312,20512|26312,21150|26312,21209|26312,23532|26312,25476|26312,25584|26312,28195|26312,30788|26312,30897|26312,33990|26312,34098|26312,35423|26312,35540|27368,40111|29333,4056|29333,7582|29333,9799|29333,14010|29333,17697|29333,18389|29333,20597|29333,22406|29333,27276|29333,27387|29333,30151|29333,31675|29353,4274|29353,7616|29353,9888|29353,14004|29353,17813|29353,18540|29353,20559|29353,22402|29353,24920|29353,27310|29353,30141|29353,30234|29353,31512|35698,4309|35698,7759|35698,9827|35698,14047|35698,17892|35698,18531|35698,18589|35698,20729|35698,22542|35698,25035|35698,27411|35698,30349|35698,31791|39242,6364|39242,6837|39242,6926|39242,7015|39242,7104|39242,7193|39242,7313|39242,7389|39242,7511|39242,7637|39242,11912|39242,12314|39242,12521|39242,15433|39242,15461|39242,15490|39242,15519|39242,15549|39242,15580|39242,15609|39242,15638|39676,31964|47905,4663|48373,4485|48373,4546|49617,4149|49617,7043|49617,9194|49617,13552|49617,17387|49617,17502|49617,18179|49617,20105|49617,21959|49617,24493|49617,26883|49617,26944|49617,29760|49617,31087|49617,31186
속성공격강화 28478,22598|39242,12960|42049,1911|42049,4092|42049,5907|42049,7775|42049,8089|42049,9760|42049,12050|42049,13455|42049,14194|47905,4671|48345,1879|48345,4094|48345,7776|48345,8072|48345,9769|48345,12068|48345,13435|48345,14234
속성공격강화로 30838,3718
속성공격강화술 39242,7294
속성공격력강화 37895,3060|37895,5043|37895,10712|48576,7716|48576,18386|48576,22973
속성공격력의 39242,3054
속성공격수치가 47905,4678
속성공격을 39242,11562
속성공격치가 24394,35564
속성과 39242,889
속성만 30377,29285|30377,29320
속성부분도 30838,3547
속성에 30377,29441|30838,3576
속성은 30838,3543
속성을 21985,35348|27368,40012|30024,37752|30024,37817|30377,28871|30377,29228|30838,3445|36224,32565|45690,24853|48576,25581
속성의 39242,1988|41496,3616|47905,10028
속성이 21985,35309|28478,19852|28478,22421|30377,29251|39242,5552|48576,25507|48576,25612
속성치 39242,6893|39242,6914|39242,6982|39242,7003|39242,7071|39242,7092|39242,7160|39242,7181|39242,7253|39242,7274|39242,7444|39242,7567|39242,7694|39242,12979
속성치가 30838,3469|44611,3648
속성치가1 30838,3726
속성치를 24394,35087
속성탄 27368,40019|30838,3076|41496,4752
속성탄이 30838,7451
속습주 48373,4542
속식주 48373,4949
속의 30838,1587
속전주 48373,2738
속집주 48373,7929
