약1 47905,5199
약3걸음 30024,37635
약5걸음 30024,37658
약간 21985,35827|27368,40490|30838,587|30838,610|30838,3514|30838,5832|30838,5875|30838,6775|30838,7177|35592,5405|39242,5158|39242,5221|39242,12546|39242,12674|39676,32602|47905,3432|47905,3482|47905,3531|47905,3582|47905,3633|47905,3641|47905,3687|48576,25414|48576,25432
약간느림 30838,5691|30838,5927|30838,6298
약간빠름 30838,5741|30838,6009
약간의 45690,22746|45690,25173
약간이지만 24394,35942
약에 37895,1711
약점 30024,37814|30377,28868|30838,292|30838,1655|30838,3621
약점에 24394,35425
약점을 21985,35527|24394,35391|28478,23026|30377,29773|30838,3583
약점이 28478,22339|30838,326|39676,32938
약점인 27368,40008
약제 41496,1825
약체화 30377,29472
약초 23612,125|23612,3128|23612,5533|23818,487|23818,499|23818,919|23818,922|23818,1289|23818,1307|23818,1325|23818,2973|23818,2976|23818,4565|23818,4568|27609,827|27609,840|27609,853|27609,944|27609,956|27609,968|27609,5715|27609,5727|27609,6680|27609,6701|27609,6925|27609,6955|30838,3846|31706,169|31706,2851|31706,3319|35592,1844|35592,1884|35592,2017|39339,1873|39339,1894|39339,1922|39339,2576|39339,2597|39339,2618|39339,4791|39339,4812|39339,4833|39339,5182|39339,5203|39339,5235|41496,6226|42405,2472|42405,9447|46577,1031|46577,1034|46577,1075|46577,1078|46577,1449|46577,4529|47905,9062|47905,9132
약초수준 39242,6712
약초의효과 41496,6845
약품이 41496,1805
약하게 45690,20643
약한 24394,34994|30838,2383|36224,32643|39242,1081|39676,33037|44611,4795|47905,6508
약한놈상대하기 44611,4781|44611,6640|44611,7079|44611,7117|44611,7211
약해지게 41496,3837
약해지고 45690,23772
