채광에서 35592,4614
채굴 23818,2131|23818,2340|23818,2501|23818,4888|23818,5128|27609,1880|27609,2565|27609,3593|27609,3893|27609,4468|27609,5417|27609,7227|39339,2736|39339,3029|39339,5889|39339,7696|39339,8158|39339,8839|39572,1810|41496,5749|41496,7877|41496,7917|41496,7947|41496,7979|41496,8014|41496,8050|41496,8092|41496,8128|41496,8162|41496,8195|41496,8222|41496,8250|41496,8285|41496,8319|41496,8353|41496,8410|41496,8456|41496,8522|41496,8562|41496,8602|41496,8642|41496,8715|41496,8784|41496,31513|41496,31555|41496,31598|41496,31641|41496,31810|41496,31840|41496,31954|41496,31982|41496,32085|41496,32778|41496,32812|41496,32993|41496,33125|41496,33171|46577,2810|46577,3400|46577,3622|46577,4703|46577,5308|53592,14141
채굴1 39572,1793
채굴2 39572,1800
채굴량 35592,4670
채굴왕 53592,11135
채굴은 35592,4595
채굴포인트 35592,470|35592,494|35592,578|35592,653|35592,733|35592,3608|35592,3624|35592,3630|35592,3638|35592,3646|35592,3654|53592,11148|53592,11177
채굴포인트에서 41496,33138
채굴할 35592,4619
채로 45690,23535
채웠다 53592,12189
채집 35592,11733|39242,2610|44611,4904
채집에 44611,4035
채취 23818,339|23818,391|23818,442|23818,482|23818,632|23818,682|23818,736|23818,778|23818,914|23818,978|23818,1037|23818,1077|23818,1232|23818,1284|23818,1343|23818,1403|23818,1612|23818,1676|23818,1732|23818,2824|23818,2968|23818,3004|23818,3065|23818,3130|23818,3266|23818,3351|23818,3465|23818,3511|23818,3642|23818,3683|23818,3739|23818,3802|23818,4062|23818,4099|23818,4172|23818,4234|23818,4379|23818,4455|23818,4560|23818,5311|23818,5367|26312,338|26312,5560|26312,5630|26312,9430|26312,9569|26312,9921|26312,10045|26312,17630|26312,17684|26312,19309|26312,20646|26312,20709|26312,27071|26312,27140|26312,34860|26312,34972|27609,814|27609,941|27609,1060|27609,2142|27609,2300|27609,2863|27609,3023|27609,3247|27609,3435|27609,4198|27609,4770|27609,4995|27609,5131|27609,5712|27609,5878|27609,6028|27609,6163|27609,6319|27609,6466|27609,6677|27609,6922|27609,7065|27609,7526|27609,7795|29333,358|29333,5071|29333,5141|29333,7966|29333,8103|29333,8420|29333,8967|29333,11685|29333,15210|29333,16698|29333,17968|29333,23956|29333,31203|29353,357|29353,2259|29353,2327|29353,5288|29353,5388|29353,8000|29353,8135|29353,8490|29353,9006|29353,9089|29353,15192|29353,15244|29353,16790|29353,18142|29353,18203|29353,23914|29353,30921|33821,4824|33821,4890|33821,4965|33821,5047|33821,5112|33821,5189|35698,357|35698,2315|35698,2384|35698,5354|35698,5423|35698,8144|35698,8282|35698,8633|35698,11854|35698,11935|35698,15299|35698,15348|35698,16811|35698,18065|35698,23975|35698,31307|39242,13439|39242,13459|39242,13674|39242,13717|39242,14300|39339,796|39339,1063|39339,1503|39339,1773|39339,1870|39339,2026|39339,2220|39339,2424|39339,2573|39339,3740|39339,3895|39339,3993|39339,4129|39339,4450|39339,4604|39339,4788|39339,4939|39339,5166|39339,5314|39339,5525|39339,5691|39339,6158|39339,6345|39339,6478|39339,6678|39339,7343|39339,7589|39339,7996|39339,8522|39339,8639|39339,8711|39572,1790|39572,1797|39572,1807|39572,2086|41496,660|41496,3362|41496,3412|41496,3444|41496,4190|41496,4708|41496,4795|41496,4871|41496,5071|41496,6172|41496,6205|41496,6241|41496,6280|41496,6336|41496,6374|41496,6411|41496,6477|41496,6534|41496,6563|41496,6660|41496,6695|41496,6730|41496,6763|41496,6814|41496,6984|41496,7121|41496,7162|41496,7220|41496,7270|41496,7309|41496,7346|41496,7391|41496,7643|41496,7677|41496,7880|41496,9780|41496,9906|41496,9935|41496,9964|41496,9994|41496,10027|41496,10060|41496,10094|41496,10126|41496,10161|41496,10193|41496,10225|41496,10257|41496,12913|41496,12951|41496,12981|41496,13008|41496,27485|41496,27727|41496,27778|41496,27826|41496,27871|41496,27917|41496,27961|41496,28009|41496,28055|41496,28102|41496,28150|41496,30721|41496,30764|41496,30803|41496,30849|41496,30883|41496,30927|41496,30971|41496,31012|41496,31054|41496,31096|41496,31190|41496,31227|41496,31278|41496,31309|41496,31343|41496,31377|41496,31412|41496,31746|41496,31778|41496,31870|41496,31899|41496,31925|41496,32058|41496,32112|41496,32678|41496,32711|41496,32744|41496,32844|41496,33184|41496,33227|42049,965|42049,2619|42049,3571|42049,3583|42049,3735|42049,6504|42049,7857|42049,10198|42049,10231|42049,13958|42049,14743|44611,4026|44611,4057|46577,561|46577,608|46577,1026|46577,1070|46577,1099|46577,1442|46577,1471|46577,1949|46577,2005|46577,2043|46577,2075|46577,2227|46577,2295|46577,2375|46577,2411|46577,2540|46577,2607|46577,2641|46577,2679|46577,3036|46577,3083|46577,3126|46577,3880|46577,3929|46577,4058|46577,4109|46577,4164|46577,4242|46577,4441|46577,4477|46577,4522|46577,4556|46577,4909|46577,4948|46577,5535|46577,5607|47905,6202|47905,6208|47905,6289|47905,6363|47905,6557|47905,6564|48345,1009|48345,2588|48345,3555|48345,3567|48345,3736|48345,6501|48345,7854|48345,10257|48345,10269|48345,13941|48345,14781|48373,7890|48576,26862|49617,340|49617,420|49617,2312|49617,5025|49617,5093|49617,7430|49617,7570|49617,7733|49617,8317|49617,8400|49617,14837|49617,14896|49617,16340|49617,17702|49617,23512|49617,30588
채취등의 39242,8392
채취를 39242,582|39242,9373|39242,13560|39242,13691
채취봉인술 39242,9364
채취술 44611,4017|44611,6253|44611,6509|44611,6544
채취시 47905,6213|47905,6294|47905,6369
채취시키고 39242,13605
채취시키면 39242,14391
채취에 41496,5301|41496,5351|41496,5402
채취의 39242,13764
채취주 48373,7886
채취포인트에서 41496,33197
채취품 39572,2475|39572,3210|39572,3918|39572,4510|39572,5070|39572,5781
채취하게 39242,13629
채취하고 39242,13786
채취하려면 35592,5347
채취하지 39242,13586|39242,13656
채취한 39242,13523|39572,184|39572,237
채취한다 39242,13479
채취할 35592,3435|35592,5489|35592,5983
채취할수 35592,5897
채해갑각 21985,22438|24394,3978|26312,12390|29333,10522|29353,10602|30024,4464|30024,10220|30024,18768|35698,10702|39676,7278|41496,24238|48373,3005|48576,12096|48576,12139|49617,10077
채해강조 21985,23151|29353,31884|30024,8717|30377,5313|41496,24481|48373,1111|48576,12552|48576,19970|49617,31448|52371,6202|52371,25746
채해견각 24394,4242|26312,25877|29333,22774|29353,22799|30024,4661|30024,4855|35698,22897|39676,15226|41496,24269|48373,3045|48576,12361|49617,22318
채해견갑 21985,22766|21985,22965|24394,4232|26312,25889|29333,22786|35698,22909|36224,23284|39676,15214|41496,24374|42405,2142|48373,3088|48576,12354
채해배갑 21985,22601|24394,4030|26312,9000|26312,12402|29333,7534|29333,10534|29333,20967|29353,7567|30024,26573|35698,7710|35698,10714|41496,24348|48373,2348|48576,12149|49617,6994
채해중각 21985,3509|21985,18091|21985,34568|26312,35821|28478,7882|29333,31971|29353,31872|35698,32131|39676,24272|41496,24295|48576,12569|49617,31441
채해중갑 24394,4443|24394,29217|26312,35833|29333,31983|30377,18684|35698,32138|39676,24260|41496,24400|42405,8693|48373,6516|48576,12559
채해집게 24394,3971|24394,4020|28478,16417|29353,10614|29353,22811|39676,7266|41496,24426|48373,1078|48576,12086|48576,12132|49617,10089|52371,21086
채해천각 24394,4469|26312,35857|26312,38274|36224,24656|39676,24296|41496,24321|42405,5645|48576,12576|48576,19977|49617,31462
채해첨조 21985,22773|24394,4037|24394,4249|41496,24452|48373,2390|48576,12103|48576,12344|49617,22330
