폿케 53592,343
폿케농장 35592,25
폿케농장에서 41496,32980
폿케농장에서의 47905,6917
폿케농장의 41496,33029
폿케마을과 53592,1043|53592,15346
폿케마을에 39242,166
폿케마을의 53592,12793|53592,12871|53592,12948|53592,14820|53592,14894|53592,14967|53592,15039
폿케수정 27609,2081|27609,7458|39572,1839|39572,2581
폿케식눈사람 23612,5219|39572,1844|39572,2857
폿케특산술병 53592,15032
폿케티켓 21985,23365|21985,26633|24394,22236|24394,23143|26312,8443|26312,9033|26312,11834|26312,23564|26312,23994|26312,24122|28478,16750|28478,19460|29333,7072|29333,7163|29333,7559|29333,9976|29333,20349|29333,20431|29333,20629|29333,21056|29333,21186|29333,30658|29353,7592|29353,10062|29353,20591|29353,21019|29353,21148|30024,24210|30024,24494|30024,25515|30024,27859|30377,16043|30377,19939|30377,20744|30377,23163|35698,7735|35698,10000|35698,20761|35698,21166|35698,21290|36224,5631|36224,19805|36224,21456|36224,21835|36224,22059|39676,7301|39676,15249|41496,29292|42405,9971|45690,11653|45690,13547|48576,14148|48576,16371|49617,7019|49617,9364|49617,20137|49617,20563|49617,20690|52371,14842|52371,20521
폿케티켓g 28478,14849|36224,25061|36224,25257|41496,29328|45690,12879|48576,15633|52371,19877
폿케포인트 41496,5672|42405,9718
폿케포인트가 44611,4968
폿케포인트를 39572,134
폿케포인트을 53592,7779
