705703z 5685,127|5685,401
70d0b1dcfa63813f4d78959816fcd12b 7635,1816
70eefbb70d939094c9f8e7862d48041f 6936,2338
7110a55b37f8c8e4532e7b1dc328aa69 6947,2404
71317899e2368ec92148ab94199998a0 7161,1784
719a124 7916,5976|7938,5976
71a1ad8a58dd3f20fb27f36f2f4bd572 7161,2977
71d9f46e448f7f122a2e5c008c6ae8e0 5891,729
72139b6141f59a501807370196d18d69 5785,736|6438,736
725c36df3541acd8d6bed0202428bc65 6865,4120|7406,4120
728575caa596d94a12ab1315380a8afa 5667,488
736740z 6650,487|6650,621|6650,755|6650,1171|6650,1574|6650,2237|6650,2370|6892,487|6892,621|6892,755|6892,1171|6892,1707|6892,2237|6892,2370|7161,480|7161,614|7161,748|7161,1166|7161,1571|7161,2237|7161,2370
7391dd347bf49bad35f4142eb7c3d182 7620,248
73927944c2e7bb5471e94107afdc071c 7635,2060
73e462d6f27bb63743275a993bcb4c42 5534,2185|7033,2185
7406fd8113a8ed985c42daf5c02f7de2 5785,2988|6438,2988
7408f134738349fd6313d11262ae10aa 6834,2693|7147,2693
742d130200c109ed850aa5a06bc91b2c 6651,429|6755,429
74920f54504f7c5b10a158a892d23369 7054,1096
749fe350e07fa35a8b17fe6954fe3ab 5455,504|5855,504|7388,500
74a2cee418cb243f2a4c81a3a196b89a 6641,1638|7139,1638
74c5d3ba2f131e5d3717e578ed22767d 7128,703
75403ef618b63c2c8ca99745ed0919d4 6377,387|6641,399|7139,399
75410bdefcd78bf464e034d028849ea9 6532,1486|7740,1486
75643ebc5e22e614e152b07970c5907d 6641,1895|7139,1895
75667604cdb0776c593e9c8aeefe7cc1 6641,3703|7139,3703
757314a1318cf287830334ea2cf88c06 6377,517
757ef4a5e5d1a2321df0c34657106519 7537,960
7583f12139c58cf7283f804541546b40 7495,236
759934f2d68089e5ce018bf668486092 7406,2060
75bd9ed4b637ea5456228a08e3bf0457 5422,2341|7623,2341
75bef7880addc87bd13d1e2e3d8c7577 6080,1600|6399,1600
75caab09b83b3ee638c0c1c75cc1a2ba 6264,1678
75d5925afbf9c6afae78f13536aab658 6936,2610
7615cb15d5df8a4f53a0b584939c6d7a 7406,3880
76181b890eb73a42dc6620850444c9e0 6289,287|7379,287
76269db16df5dea2ee17e1923c1ff163 6264,4228
766ac512c9468f70d1d234f67176cd28 7495,2948
76c384168762f660c224dbe8daf7174 6472,1794|6540,1794
76e5e9eccce64867256bdc955187bab4 6544,2298|7508,2298
771867d1947a2c1984b5a419513f400 5667,734
772a6b0671387aec664675b73466018b 7537,563
774a793f1ea58821a61f87b2a126fff6 5874,565
7776b951 7916,9963|7938,9963
77887a1aeda0497688e2adff8afe1974 5874,828|6287,828
77e3bbfac9296fbff42e6ab45a23b389 6834,2066|7147,2066
77f2a3dfec55fa5e8ba2f60f67ee1aa7 6472,699|6540,699
77f5e8ce2c19b7f784ea6dfa63ff958 5534,1259|7033,1259
789526z 6755,134|6755,349|6755,1000|6755,1380
78c524bca72ed81b10a9871b48aab85b 7156,384
79316f6eae55ecbe57f62ef9476a352b 6544,2034|7508,2034
7a4524332f8b6d2886581e2578aae78d 6834,3591|7147,3591
7a4e63dc4e61b0bf90de69a1c6347a06 6641,2283|7139,2283
7a5acd40c25394232fb2ef4d0566193b 6834,887|7147,887
7ab1473db17b5a344cdd9253783f04e9 6947,1616
7abefe9d9bbdc1a73251f16a94e07997 6125,1088
7ac3c4ccc26f197989c3e53499dbde1 5374,3188|6518,3188
7ade523057b62c0561eb619ecc856c73 7585,880
7b3093fc29183546f7b94f3ede733685 7197,278
7b4fa4f5fb8a63015f0fbc9bcfa2ec02 7128,1265
7b5e918ab2f0508cb60528578c1a1591 7327,564
7bacb72787befab6c5514b451f4dc1 6080,2929|6399,2929|6771,2561|6916,2561|7136,2561|7144,2941
7bcdb340a435caee0644cade7fc7a002 7058,950|7766,950
7c10b06bc5213ff305786f62da37f75f 5374,1669|6518,1808
7c4f927927c6b93a0068c99287602924 5455,626|5855,626|7388,622
7c84661ac4e950eb55dff3f57dd91003 6651,947
7c9e0f84108b449af6930f817be7b9c8 5374,565|6518,570
7cf3381779430702119fcfe16fa5e221 6080,2667|6399,2667
7d026c4e63a0a0db1d6728dddb32c951 6641,1385|7139,1385
7d59eb2393fb47e84b4e1785371248f6 6727,391|6753,391|7011,387
7dea5dfbd8eab028995c9453997ba117 7011,514
7df0337cf3cbfd87c999952115ed10ea 5374,704|6518,437
7dfff602900654dfad08ca49770929ca 6150,1215|7826,1219|7879,1219
7e470749a3cb3b07f97e246d3abce712 6936,1660
7e51e5b9126fed8c755241a2bba57c55 7074,1169
7e7d4ba3f1c08b37568c21cd207affd6 5605,267
7e81eb8d5dc8990bbd132b8fa8b6ea6f 6472,1650
7ee54b57e9368cd7d95488b4803da1ea 5667,243
7f 5426,10449|5426,14944|5426,19436|5426,23981|5426,28713|5426,33481|5426,38229|5426,43016|5426,47560|5701,7587|6100,10438|6100,14939|6100,19437|6100,23988|6100,28727|6100,33501|6100,38255|6100,43048|6100,47598|6571,7630|7200,10449|7200,14944|7200,19436|7200,23981|7200,28713|7200,33481|7200,38229|7200,43016|7200,47560|7532,7274
7fd8f4a0d1a7f9779e1e854272cb39cf 6015,303
7th 6203,5065|6688,5065
