jaafar 1167,0,p|1167,0,p
jaakko 232,17,i|296,0,i|349,0,i|566,143,br|566,0,p|738,0,i|738,0,i|753,809,br|753,17,p|799,0,i|799,0,i|799,0,i|799,0,i|820,143,br|820,4720,br|820,0,p|820,0,p|905,1238,br|905,1839,br|905,3835,br|905,8609,br|905,0,p|905,0,p|905,0,p|905,0,p|1122,1238,br|1122,1839,br|1122,3835,br|1122,8609,br|1122,0,p|1122,0,p|1122,0,p|1122,0,p|1269,143,br|1269,0,p
jaap 1200,42,p
jabbari 135,20,p|135,20,p|554,20,p|554,20,p
jaccard 1300,148,p|1300,218,p
jacek 32,39,i|97,39,i|137,39,i|162,14148,br|162,39,p|305,11336,br|305,39,p|351,9940,br|351,39,p|387,39,i|469,31406,br|469,39,p|480,10312,br|480,39,p|509,5599,br|509,39,p|600,5261,br|600,39,p|634,39,i|685,12983,br|685,39,p|705,39,i|818,39,i|928,7932,br|928,39,p|966,0,p|966,0,u|972,219,p|980,39,i|1045,10920,br|1045,39,p|1079,25046,br|1079,39,p|1080,14226,br|1080,39,p|1109,39,i|1111,39,i|1227,9585,br|1227,39,p|1243,6018,br|1243,39,p
jack 285,0,p|406,39,p
jacket 467,134,p|980,4,p
jacketcolor 32,140,p|387,140,p|818,140,p|1111,140,p
jackfruit 278,4,p
jacob 511,115,p|1176,20,p|1292,7,a|1298,7,li|1298,31,li|1303,10,p
jacobian 896,105,p
jacobin 896,83,p
jacquot 278,10,p
jafari 135,58,p|135,58,p|554,58,p|554,58,p
jafcpereira 904,0,u
jaggedtop 902,49,p|902,63,p
jaguar 1263,38,p
jahangir 591,9,p|591,9,p
jaim 124,1746,br|124,36,p|511,36,i|605,0,p|605,19,p|605,19,p|612,2531,br|612,36,p|725,0,p|725,18,p|725,18,p|1079,22235,br|1079,36,p|1111,36,i
jain 77,32,p|77,0,u|634,90,i|665,32,p|665,0,u|665,19,p|665,0,p|1085,32,p|1085,0,u|1085,19,p|1085,0,p|1108,95,p|1189,95,p|1237,32,p|1237,0,u|1243,7722,br|1243,90,p|1269,98,p|1269,5,p
jair 32,26,i|39,3422,br|39,26,p|54,3458,br|54,26,p|86,26,i|113,4742,br|113,26,p|124,312,br|124,26,p|127,4742,br|127,26,p|137,26,i|162,8583,br|162,26,p|225,26,i|232,26,i|241,2469,br|241,26,p|265,4742,br|265,26,p|291,4458,br|291,8447,br|291,26,p|291,26,p|305,8631,br|305,26,p|316,1959,br|316,26,p|318,1615,br|318,26,p|351,8631,br|351,26,p|387,26,i|443,4585,br|443,26,p|467,26,i|476,26,i|477,4458,br|477,8447,br|477,26,p|477,26,p|480,8631,br|480,26,p|498,4517,br|498,26,p|509,1163,br|509,26,p|511,26,i|548,26,i|550,26,i|557,26,i|557,26,i|561,4458,br|561,8447,br|561,26,p|561,26,p|592,3789,br|592,26,p|600,1163,br|600,26,p|612,312,br|612,26,p|624,4147,br|624,26,p|661,4585,br|661,26,p|678,7131,br|678,26,p|685,6238,br|685,26,p|714,26,i|719,26,i|730,26,i|733,3324,br|733,26,p|741,7241,br|741,26,p|753,1596,br|753,26,p|768,26,i|774,5615,br|774,26,p|785,26,i|798,26,i|809,26,i|818,26,i|821,26,i|834,26,i|910,3749,br|910,26,p|931,26,i|980,26,i|1030,4458,br|1030,8447,br|1030,26,p|1030,26,p|1032,2469,br|1032,26,p|1045,8583,br|1045,26,p|1051,26,i|1051,26,i|1058,3246,br|1058,26,p|1079,10082,br|1079,11039,br|1079,16190,br|1079,26,p|1079,26,p|1079,26,p|1080,8631,br|1080,26,p|1109,26,i|1111,26,i|1111,26,i|1111,26,i|1142,1964,br|1142,26,p|1166,2125,br|1166,26,p|1227,7936,br|1227,26,p|1246,26,i|1282,4742,br|1282,26,p
jakarta 950,1,a
jakob 120,867,br|120,41,p|461,145,p|461,145,p|469,6080,br|469,41,p|705,41,i|855,41,i|1056,847,br|1056,41,p|1075,41,i|1278,867,br|1278,41,p
jakub 70,0,p|70,0,u|76,16376,br|76,0,p|142,0,i|212,3,p|212,0,u|212,67,p|296,0,i|566,2649,br|566,0,p|1114,3,p|1114,0,u|1114,42,p|1196,17163,br|1196,0,p
jalandhar 1095,69,p
jam 634,172,p|634,0,a|635,224,p|635,34,p|738,28,p|1063,201,p|1158,51,p|1243,4073,br|1243,0,a
jamaica 498,194,p|1071,194,p
jamaican 971,601,p
