qa 122,58,p|1303,3,a
qader 1298,122,li|1298,20,li|1298,20,li|1298,20,li
qap 40,7,a
qav 782,96,p|782,208,p|782,212,p|931,0,p|931,4,p
qcm 539,1,a|767,8,a|807,41,title|807,8,b|807,17,p|807,137,p|807,105,p|807,105,p
qda 257,16,p|303,207,p|419,139,p|744,68,p|799,68,p
qian 46,43,p|61,205,p|61,32,p|61,527,p|61,5,p|511,182,p|1164,205,p|1164,32,p|1164,527,p|1164,5,p
qiang 4,37,p|6,37,p|7,37,p|548,30,i|634,30,i|634,0,i|741,489,br|741,30,p|980,30,i|1184,20,i|1184,30,i|1197,508,br|1197,807,br|1197,20,p|1197,30,p|1227,905,br|1227,30,p|1243,859,br|1243,2254,br|1243,30,p|1243,0,p
qin 56,203,br|56,60,p|110,203,br|110,60,p|366,518,br|366,60,p|634,60,i|744,60,i|786,203,br|786,60,p|799,60,i|905,203,br|905,60,p|1031,203,br|1031,60,p|1122,203,br|1122,60,p|1169,203,br|1169,60,p|1182,60,i|1233,60,i|1243,203,br|1243,60,p|1277,60,i
qingp 46,0,i|46,2,i|46,0,i|77,143,br|77,312,br|77,548,br|77,0,p|77,2,p|77,0,p|114,0,i|114,2,i|169,438,br|169,607,br|169,0,p|169,2,p|280,0,i|280,2,i|280,0,i|469,1747,br|469,1916,br|469,0,p|469,2,p|665,143,br|665,312,br|665,548,br|665,0,p|665,2,p|665,0,p|705,0,i|705,2,i|736,0,i|736,2,i|780,143,br|780,491,br|780,660,br|780,0,p|780,0,p|780,2,p|934,143,br|934,312,br|934,0,p|934,2,p|977,481,br|977,650,br|977,0,p|977,2,p|1079,779,br|1079,948,br|1079,0,p|1079,2,p|1085,143,br|1085,312,br|1085,548,br|1085,0,p|1085,2,p|1085,0,p|1111,0,i|1111,2,i|1190,0,i|1190,2,i|1190,0,i|1237,143,br|1237,312,br|1237,548,br|1237,0,p|1237,2,p|1237,0,p|1239,0,i|1239,2,i
qiuyi 474,0,p
qm 1013,7,p
qo 4,133,p|7,133,p
qp 416,15,a|498,9079,br|498,15,a|548,209,p|744,128,p|834,15,a|1071,5626,br|1071,15,a
qq 193,7,p|766,137,p|810,145,p
qr 823,8,p|823,33,p|823,8,p
qrsa 823,10,p|823,18,p
qrst 823,8,p
qrsta 823,10,p
qsar 66,33,title|66,0,b|66,82,p|66,57,p|66,69,p|197,33,title|197,0,b|197,65,p|197,4,p|197,73,p|197,35,p|197,69,p|628,33,title|628,0,b|628,126,p|628,57,p|628,668,p|628,767,p|628,73,p|628,172,p|628,69,p|628,170,p|628,269,p|729,1,a|767,0,a|767,0,a|1214,129,p|1233,66,p|1288,40,title|1288,40,h1
qu 829,158,p
qua 0,678,body|1,678,body
quad 1079,13,p
quadrant 234,23,p|605,66,p
quadrap 373,40,title|373,40,h1|729,1,a
quadrat 76,3126,br|76,39,a|97,27,p|142,39,a|809,157,p|1079,3810,br|1079,39,a|1111,39,a|1196,3126,br|1196,39,a
quadrup 357,33,title|357,0,b|357,79,p|357,76,p
qualifi 347,14,p|435,14,p
qualit 83,63,p|102,51,p|287,25,p|287,32,p|347,15,p|347,15,p|347,15,p|347,14,p|347,15,p|347,15,p|347,15,p|347,15,p|347,15,p|347,15,p|347,15,p|347,15,p|347,15,p|403,73,p|435,15,p|435,15,p|435,15,p|435,14,p|435,15,p|435,15,p|435,15,p|435,15,p|435,15,p|435,15,p|435,15,p|435,15,p|435,15,p|490,168,p|555,63,p|555,63,p|563,30,p|563,132,p|563,132,p|653,455,p|653,37,p|653,32,p|659,33,title|659,0,b|705,64,p|931,51,p|1038,368,p|1111,46,p
