ya 4738,21,p|4784,21,p|5017,0,p
yabin 4370,0,li|4377,0,a
yadav 5017,18,a
yagi 4865,1,p|4865,21,div
yahoo 4359,2,p|4425,74,div|4425,92,p|4431,114,header|4431,16,a|4431,0,a|4431,117,p|4432,74,div|4432,92,p|4432,0,div|4436,114,header|4436,0,a|4436,51,p|4440,74,div|4440,92,p|4446,74,div|4446,92,p|4450,16,title|4450,16,h1|4450,0,a|4450,117,p|4465,74,div|4465,92,p|4465,408,p|4466,114,header|4466,0,a|4466,51,p|4475,653,p|4477,0,a|4477,0,a|4484,114,header|4484,16,a|4484,0,a|4484,117,p|4486,74,div|4486,92,p|4487,114,header|4487,16,a|4487,0,a|4487,117,p|4488,0,div|4488,982,p|4488,0,div|4493,74,div|4493,92,p|4495,26,li|4495,26,li|4497,74,div|4497,92,p|4501,0,div|4503,74,div|4503,92,p|4505,114,header|4505,16,a|4505,0,a|4505,117,p|4520,114,header|4520,16,a|4520,0,a|4520,117,p|4530,114,header|4530,16,a|4530,0,a|4530,117,p|4532,114,header|4532,0,a|4532,51,p|4535,543,div|4543,74,div|4543,92,p|4543,653,p|4546,982,p|4546,0,div|4550,653,p|4553,543,div|4553,408,br|4557,74,div|4557,92,p|4558,74,div|4558,92,p|4563,408,p|4565,74,div|4565,92,p|4566,114,header|4566,16,a|4566,0,a|4566,117,p|4569,74,div|4569,92,p|4572,114,header|4572,0,a|4572,51,p|4573,74,div|4573,92,p|4575,74,div|4575,92,p|4581,74,div|4581,92,p|4591,0,a|4594,114,header|4594,0,a|4594,51,p|4600,74,div|4600,92,p|4600,543,div|4601,0,title|4601,0,h1|4601,51,p|4602,114,header|4602,0,a|4602,51,p|4604,74,div|4604,92,p|4606,0,title|4606,0,h1|4606,51,p|4607,114,header|4607,0,a|4607,51,p|4609,74,div|4609,92,p|4613,74,div|4613,92,p|4613,982,p|4613,0,div|4619,0,title|4619,0,h1|4619,51,p|4621,114,header|4621,0,a|4621,51,p|4622,114,header|4622,16,a|4622,0,a|4622,117,p|4623,1,a|4626,16,a|4630,17,a|4632,74,div|4632,92,p|4999,0,a|5010,37,p|5012,37,p|5028,37,p|5040,37,p|5041,37,span|5042,37,p
yakima 5002,21,a
yale 4431,48,p|4466,48,p|4484,48,p|4505,48,p|4532,48,p|4540,1147,p|4553,1147,p|4566,48,p|4569,1147,p|4572,48,p|4593,48,p|4594,48,p|4663,102,div|4663,116,div|4663,136,div|4674,205,p|4695,2,p|4695,2,p|4695,2,p|4695,2,p|4946,37,li|4946,77,li|4946,1,li|4946,60,li
yaleu 4695,26,p|4961,93,li
yan 4370,74,li|4377,256,li|4401,74,li|4475,0,b|4475,1,p|4543,0,b|4543,1,p|4550,0,b|4550,1,p|4976,11,td
yanchuk 4675,41,p|4692,52,div|4695,24,p|4944,22,li
yang 1335,97,p|1335,2,p|1339,97,p|1339,2,p|1432,97,p|1432,2,p|1439,97,p|1439,2,p|1553,97,p|1553,2,p|1570,97,p|1570,2,p|1594,97,p|1594,2,p|1601,97,p|1601,2,p|1612,189,p|1612,63,p|1616,97,p|1616,2,p|1641,97,p|1641,2,p|1696,97,p|1696,2,p|1806,97,p|1806,2,p|1880,97,p|1880,2,p|1886,97,p|1886,2,p|2174,97,p|2174,2,p|2246,97,p|2246,2,p|2274,97,p|2274,2,p|2453,96,p|2453,1,p|2865,97,p|2865,2,p|2992,97,p|2992,2,p|3080,97,p|3080,2,p|3148,97,p|3148,2,p|3154,97,p|3154,2,p|3218,189,p|3218,63,p|3243,97,p|3243,2,p|3248,97,p|3248,2,p|3254,189,p|3254,63,p|3430,97,p|3430,2,p|3441,97,p|3441,2,p|3558,97,p|3558,2,p|3594,97,p|3594,2,p|3695,97,p|3695,2,p|3716,97,p|3716,2,p|3771,97,p|3771,2,p|3843,97,p|3843,2,p|3958,97,p|3958,2,p|4039,97,p|4039,2,p|4169,97,p|4169,2,p|4244,97,p|4244,2,p|4304,97,p|4304,2,p|4370,27,li|4370,11,li|4370,11,li|4370,11,li|4370,11,li|4370,34,li|4370,47,li|4370,11,li|4370,11,li|4370,73,li|4370,83,li|4377,0,a|4377,19,li|4377,38,li|4394,0,span|4639,3,p|4695,28,p|4695,29,p|4695,12,p|4695,3,p|4894,4,a|4944,153,li|4944,148,li|4944,114,li|4944,85,li|4961,84,li
yangfeng 4465,0,a|4553,0,a|4563,0,a
yanni 4370,119,li|4370,66,li
yanov 4446,622,div|4446,436,p|4550,622,div|4550,436,p|4554,622,div|4554,436,p
yao 1335,14,p|1335,2,p|1335,2,p|1339,14,p|1339,2,p|1339,2,p|1432,14,p|1432,2,p|1432,2,p|1439,14,p|1439,2,p|1439,2,p|1553,14,p|1553,2,p|1553,2,p|1570,14,p|1570,2,p|1570,2,p|1594,14,p|1594,2,p|1594,2,p|1601,14,p|1601,2,p|1601,2,p|1612,106,p|1612,114,p|1612,124,p|1616,14,p|1616,2,p|1616,2,p|1641,14,p|1641,2,p|1641,2,p|1696,14,p|1696,2,p|1696,2,p|1806,14,p|1806,2,p|1806,2,p|1880,14,p|1880,2,p|1880,2,p|1886,14,p|1886,2,p|1886,2,p|2174,14,p|2174,2,p|2174,2,p|2246,14,p|2246,2,p|2246,2,p|2274,14,p|2274,2,p|2274,2,p|2453,13,p|2453,1,p|2453,1,p|2865,14,p|2865,2,p|2865,2,p|2992,14,p|2992,2,p|2992,2,p|3080,14,p|3080,2,p|3080,2,p|3148,14,p|3148,2,p|3148,2,p|3154,14,p|3154,2,p|3154,2,p|3218,106,p|3218,114,p|3218,124,p|3243,14,p|3243,2,p|3243,2,p|3248,14,p|3248,2,p|3248,2,p|3254,106,p|3254,114,p|3254,124,p|3430,14,p|3430,2,p|3430,2,p|3441,14,p|3441,2,p|3441,2,p|3558,14,p|3558,2,p|3558,2,p|3594,14,p|3594,2,p|3594,2,p|3695,14,p|3695,2,p|3695,2,p|3716,14,p|3716,2,p|3716,2,p|3771,14,p|3771,2,p|3771,2,p|3843,14,p|3843,2,p|3843,2,p|3958,14,p|3958,2,p|3958,2,p|4039,14,p|4039,2,p|4039,2,p|4169,14,p|4169,2,p|4169,2,p|4244,14,p|4244,2,p|4244,2,p|4304,14,p|4304,2,p|4304,2,p
yaoshu 4370,50,li|4370,36,li
yar 2736,0,a|2736,0,a|2736,0,a|2736,0,a|2736,0,a|2736,0,a|3382,0,a|3382,0,a|3382,0,a|3382,0,a|3382,0,a|3382,0,a|3382,0,a|3382,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3669,0,a|3669,0,a|3669,0,a|3669,0,a|3669,0,a|3669,0,a|3669,0,a|3669,0,a
yard 5002,1072,p
yaron 4873,43,p|4873,48,div
yasser 4370,20,li|4370,20,li|4370,0,li
yasuoka 1335,58,p|1339,58,p|1439,58,p|1553,58,p|1601,58,p|1612,198,p|1616,58,p|1641,58,p|1806,58,p|1880,58,p|2174,58,p|2246,58,p|2274,58,p|2453,57,p|2865,58,p|2992,58,p|3080,58,p|3148,58,p|3154,58,p|3218,198,p|3254,198,p|3430,58,p|3441,58,p|3558,58,p|3594,58,p|3771,58,p|3843,58,p|3958,58,p|4039,58,p|4169,58,p|4244,58,p|4304,58,p
yasuura 4892,83,p|4892,106,div
yate 1335,66,p|1339,66,p|1432,66,p|1439,66,p|1553,66,p|1570,66,p|1594,66,p|1601,66,p|1612,178,p|1616,66,p|1641,66,p|1696,66,p|1806,66,p|1880,66,p|1886,66,p|2174,66,p|2246,66,p|2274,66,p|2453,65,p|2865,66,p|2992,66,p|3080,66,p|3148,66,p|3154,66,p|3218,178,p|3243,66,p|3248,66,p|3254,178,p|3430,66,p|3441,66,p|3558,66,p|3594,66,p|3695,66,p|3716,66,p|3771,66,p|3843,66,p|3958,66,p|4039,66,p|4169,66,p|4244,66,p|4304,66,p
yau 4931,8,li
ybey 2230,0,a|2295,0,a|3241,0,a|3318,0,a|3510,0,a|3935,0,a
ydjc 1635,0,a|1635,0,a|2116,0,a|3241,0,a|3241,0,a|3382,0,a|3382,0,a|3599,0,a|3599,0,a|3599,0,a|3599,0,a|3669,0,a|3669,0,a|3892,0,a
