qc 7628,132,span
qdce 7643,281,span|7716,3007,a|7778,3007,a|7792,3425,build|7861,4210,a|7880,79,del|7910,2778,a
qe 7613,414,ins|7613,433,ins|7613,137,ins|7613,68,ins|7613,118,ins|7613,194,ins|7618,15,td|7636,411,p|7636,430,p|7636,0,strong|7636,65,li|7636,90,li|7636,166,li|7671,15,td|7681,2057,string|7681,991,attribute|7681,1375,attribute|7681,1451,attribute|7682,15,td|7702,15,td|7740,15,td|7748,411,p|7748,430,p|7748,0,strong|7748,65,li|7748,90,li|7748,166,li|7758,15,td|7767,15,td|7774,54,span|7780,15,td|7781,15,td|7806,15,td|7808,411,p|7808,430,p|7808,0,strong|7808,65,li|7808,90,li|7808,166,li|7811,15,td|7844,15,td|7847,15,td|7865,15,td|7882,2057,string|7882,991,attribute|7882,1375,attribute|7882,1451,attribute|7892,15,td|7909,411,p|7909,430,p|7909,0,strong|7909,65,li|7909,90,li|7909,166,li|7913,15,td|7917,15,td|7939,15,td|7940,15,td
qgl 5451,7,querygramlist<array<posid|5451,31,weightedgramlist<array<posid|5451,45,weightedgramlist<array<posid|5451,56,array<posid|5451,17,array<posid|5451,20,array<posid|5451,68,array<posid|5451,106,array<posid|5721,7,querygramlist<array<posid|5721,31,weightedgramlist<array<posid|5721,45,weightedgramlist<array<posid|5721,56,array<posid|5721,17,array<posid|5721,20,array<posid|5721,68,array<posid|5721,106,array<posid|7123,7,querygramlist<array<posid|7123,31,weightedgramlist<array<posid|7123,45,weightedgramlist<array<posid|7123,56,array<posid|7123,17,array<posid|7123,20,array<posid|7123,68,array<posid|7123,106,array<posid
qgram 5562,1171,string|5584,1171,string|6313,1171,string|6450,1171,string|6475,1171,string|6585,1171,string
qhyizq 7628,118,span
qid 5937,2442,const|5937,2715,const|5937,3056,const|5937,3395,const|5937,3785,const|5937,4156,const|5963,2442,const|5963,2715,const|5963,3105,const|5963,3444,const|5963,3859,const|5963,4230,const|6590,2442,const|6590,2715,const|6590,3105,const|6590,3444,const|6590,3859,const|6590,4230,const
qiushi 7613,11,dd|7615,11,dd|7618,0,li|7618,1,td|7618,0,em|7618,0,em|7618,0,em|7618,0,em|7618,0,em|7618,0,em|7618,0,em|7623,12,td|7627,14,span|7629,11,dd|7643,11,dd|7644,0,em|7644,0,em|7644,0,em|7671,24,th|7671,0,li|7671,1,td|7671,0,em|7671,0,em|7671,0,em|7671,0,em|7671,0,em|7671,0,em|7671,0,em|7722,0,em|7726,11,dd|7742,12,td|7745,12,td|7746,1,td|7752,11,dd|7770,12,td|7772,12,td|7782,23,th|7804,24,th|7804,0,em|7852,0,em|7862,1,td|7867,23,th|7867,0,em|7867,0,em|7873,12,td|7875,11,th|7892,24,th|7892,0,li|7892,0,em|7892,0,em|7892,0,em|7892,0,em|7892,0,em|7892,0,em|7892,0,em|7921,24,th|7921,12,td|7936,23,th|7936,0,em|7936,0,em|7938,11,dd|7940,0,li|7940,1,td|7940,1,td|7940,0,em|7940,0,em|7940,0,em|7940,0,em|7940,0,em|7940,0,em|7940,0,em
qix 5636,6299,unsigned|5636,6401,unsigned|5636,6464,unsigned|5636,6557,unsigned|5636,6620,unsigned|5636,7121,unsigned|5636,7226,unsigned|5636,7289,unsigned|5636,7771,unsigned|5636,7873,unsigned|5636,7936,unsigned|5636,9526,unsigned|5636,9602,unsigned|5636,9665,unsigned|5636,9731,unsigned|5636,9794,unsigned|5636,11078,unsigned|5636,11145,unsigned|5636,11199,unsigned|5636,11256,unsigned|5636,11310,unsigned|5636,12190,unsigned|5636,12266,unsigned|5636,12302,unsigned|5636,12864,unsigned|5636,12991,unsigned|5636,13051,unsigned|5636,13114,unsigned|5636,13174,unsigned|6682,6299,unsigned|6682,6401,unsigned|6682,6464,unsigned|6682,6557,unsigned|6682,6620,unsigned|6682,7121,unsigned|6682,7226,unsigned|6682,7289,unsigned|6682,7771,unsigned|6682,7873,unsigned|6682,7936,unsigned|6682,9526,unsigned|6682,9602,unsigned|6682,9665,unsigned|6682,9731,unsigned|6682,9794,unsigned|6682,11078,unsigned|6682,11145,unsigned|6682,11199,unsigned|6682,11256,unsigned|6682,11310,unsigned|6682,12190,unsigned|6682,12266,unsigned|6682,12302,unsigned|6682,12864,unsigned|6682,12991,unsigned|6682,13051,unsigned|6682,13114,unsigned|6682,13174,unsigned|7154,5718,unsigned|7154,5820,unsigned|7154,5883,unsigned|7154,5976,unsigned|7154,6039,unsigned|7154,6540,unsigned|7154,6645,unsigned|7154,6708,unsigned|7154,7190,unsigned|7154,7292,unsigned|7154,7355,unsigned|7154,8945,unsigned|7154,9021,unsigned|7154,9084,unsigned|7154,9150,unsigned|7154,9213,unsigned|7154,10497,unsigned|7154,10564,unsigned|7154,10618,unsigned|7154,10675,unsigned|7154,10729,unsigned|7154,11609,unsigned|7154,11685,unsigned|7154,11721,unsigned|7154,12283,unsigned|7154,12410,unsigned|7154,12470,unsigned|7154,12533,unsigned|7154,12593,unsigned
qlettercount 5471,194,int|5471,276,int|5471,480,int|5471,538,int|5471,667,int|5471,412,int|5471,494,int|5471,698,int|5471,756,int|5471,885,int|5471,168,int|5471,250,int|5471,454,int|5471,512,int|5471,641,int|6768,194,int|6768,276,int|6768,480,int|6768,538,int|6768,667,int|6768,412,int|6768,494,int|6768,698,int|6768,756,int|6768,885,int
qnq 7616,81,span|7661,81,ins|7752,40,del
